Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2019-03-20,SG,"Harden, James",86.4,"12,100",hou,@ mem, 125-126,45:37,   57pt 7rb 8as 2st 2bl 3to 9trey 18-39fg 12-12ft
2019-03-20,PG,"Lillard, Damian",62,"10,700",por,v dal, 126-118,30:11,   33pt 5rb 12as 2st 1to 6trey 9-18fg 9-10ft
2019-03-20,PG,"Westbrook, Russell",59.2,"11,500",okc,v tor, 114-123,43:55,   42pt 11rb 6as 1st 8to 5trey 16-29fg 5-8ft
2019-03-20,PG,"Dunn, Kris",56.7,"5,700",chi,v was, 126-120,39:18,   26pt 6rb 13as 2st 2to 3trey 10-24fg 3-5ft
2019-03-20,SG,"Beal, Bradley",54.9,"10,300",was,@ chi, 120-126,43:49,   27pt 7rb 7as 3st 2bl 6to 2trey 7-19fg 11-15ft
2019-03-20,PG,"Irving, Kyrie",52.8,"10,500",bos,@ phi, 115-118,35:42,   36pt 9rb 4as 1bl 3to 3trey 12-29fg 9-11ft
2019-03-20,PG,"Conley, Mike",52,"9,000",mem,v hou, 126-125,42:18,   35pt 5rb 8as 1to 6trey 12-23fg 5-5ft
2019-03-20,PG,"Bledsoe, Eric",48.6,"7,400",mil,@ cle, 102-107,35:15,   24pt 8rb 8as 2st 3to 2trey 7-19fg 8-9ft
2019-03-20,PG,"Simmons, Ben",46.1,"8,600",phi,v bos, 118-115,42:24,   13pt 8rb 7as 3st 2bl 2to 5-9fg 3-4ft
2019-03-20,SG,"DeRozan, DeMar",46,"8,900",sas,v mia, 105-110,34:05,   16pt 15rb 6as 1st 1bl 3to 6-12fg 4-6ft
2019-03-20,SG,"Middleton, Khris",45.9,"7,600",mil,@ cle, 102-107,37:12,   26pt 12rb 1as 1st 1bl 2to 4trey 10-21fg 2-2ft
2019-03-20,SG,"Mitchell, Donovan",41.1,"8,800",uta,@ nyk, 137-116,28:39,   30pt 3rb 5as 1st 3to 5trey 12-20fg 1-2ft
2019-03-20,PG,"Satoransky, Tomas",38.5,"6,700",was,@ chi, 120-126,38:58,   16pt 5rb 7as 3st 3to 2trey 7-11fg
2019-03-20,PG,"Paul, Chris",37.9,"8,300",hou,@ mem, 125-126,41:29,   18pt 7rb 7as 1st 2to 2trey 6-17fg 4-4ft
2019-03-20,SG,"Doncic, Luka",37,"9,900",dal,@ por, 118-126,28:50,   24pt 5rb 6as 2to 1trey 8-16fg 7-7ft
2019-03-20,PG,"Harrison, Shaquille",36.2,"3,800",chi,v was, 126-120,39:12,   18pt 6rb 4st 1to 1trey 7-13fg 3-3ft
2019-03-20,SG,"Green, Danny",36,"4,300",tor,@ okc, 123-114,35:59,   17pt 5rb 6as 2st 2to 5trey 6-10fg
2019-03-20,SG,"Clarkson, Jordan",35,"5,000",cle,v mil, 107-102,32:03,   23pt 5rb 2as 2st 3to 1trey 9-17fg 4-4ft
2019-03-20,PG,"VanVleet, Fred",35,"5,300",tor,@ okc, 123-114,40:26,   23pt 6as 2st 3to 3trey 8-16fg 4-4ft
2019-03-20,SG,"Fournier, Evan",32.5,"5,600",orl,v nor, 119-96,28:17,   22pt 5rb 3as 1st 3to 3trey 9-13fg 1-1ft
2019-03-20,PG,"Curry, Seth",31.5,"3,700",por,v dal, 126-118,28:04,   20pt 5rb 1as 2st 2to 4trey 8-16fg
2019-03-20,PG,"Rubio, Ricky",31.1,"6,300",uta,@ nyk, 137-116,20:07,   12pt 3rb 9as 1st 1to 1-2fg 10-10ft
2019-03-20,SG,"Dotson, Damyean",30.7,"5,700",nyk,v uta, 116-137,37:06,   21pt 1rb 3as 1st 1bl 2to 4trey 7-13fg 3-5ft
2019-03-20,SG,"Butler, Jimmy",29.8,"8,100",phi,v bos, 118-115,37:09,   22pt 4rb 2as 3trey 7-17fg 5-5ft
2019-03-20,PG,"Augustin, DJ",29.1,"5,500",orl,v nor, 119-96,24:11,   13pt 3rb 7as 1st 1to 1trey 5-8fg 2-2ft
2019-03-20,PG,"Brunson, Jalen",28.9,"6,000",dal,@ por, 118-126,26:09,   16pt 2rb 3as 2st 6-10fg 4-4ft
2019-03-20,PG,"Rozier, Terry",28.7,"6,500",bos,@ phi, 115-118,23:35,   20pt 6rb 1as 4trey 8-16fg
2019-03-20,PG,"Mills, Patty",28.4,"3,700",sas,v mia, 105-110,28:40,   17pt 2rb 6as 5trey 6-13fg
2019-03-20,SG,"Schroder, Dennis",28.4,"5,500",okc,v tor, 114-123,38:16,   12pt 7rb 4as 1st 1to 1trey 5-16fg 1-2ft
2019-03-20,SG,"Luwawu, Timothe",28.3,"3,500",chi,v was, 126-120,26:10,   13pt 4rb 3as 2st 3trey 5-9fg
2019-03-20,SG,"Clark, Ian",28,"3,600",nor,@ orl, 96-119,27:56,   17pt 5rb 4as 1to 3trey 7-13fg
2019-03-20,PG,"Sexton, Collin",27.9,"6,300",cle,v mil, 107-102,34:41,   25pt 2rb 3as 4to 4trey 10-18fg 1-1ft
2019-03-20,SG,"Waiters, Dion",27,"4,000",mia,@ sas, 110-105,32:30,   18pt 5rb 4as 3to 4trey 7-14fg 0-2ft
2019-03-20,PG,"Mudiay, Emmanuel",26.9,"5,000",nyk,v uta, 116-137,33:54,   15pt 2rb 5as 1st 1to 7-17fg 1-1ft
2019-03-20,SG,"Connaughton, Pat",26.6,"4,200",mil,@ cle, 102-107,34:20,   11pt 3rb 4as 2st 2trey 4-7fg 1-2ft
2019-03-20,PG,"Dragic, Goran",26.4,"5,500",mia,@ sas, 110-105,22:24,   22pt 2rb 2as 1to 4trey 8-13fg 2-3ft
2019-03-20,PG,"Jackson, Frank",24.8,"5,300",nor,@ orl, 96-119,31:34,   14pt 4rb 4as 2trey 6-17fg
2019-03-20,SG,"Snell, Tony",24.1,"3,500",mil,@ cle, 102-107,27:39,   8pt 8rb 1as 2bl 1to 2trey 3-11fg
2019-03-20,SG,"Ross, Terrence",21.6,"5,600",orl,v nor, 119-96,22:46,   19pt 3rb 1to 5trey 7-13fg 0-1ft
2019-03-20,SG,"Wright, Delon",20.6,"5,200",mem,v hou, 126-125,41:38,   9pt 3rb 4as 2st 4to 1trey 3-9fg 2-3ft
2019-03-20,PG,"Knight, Brandon",20.4,"4,200",cle,v mil, 107-102,26:20,   13pt 2rb 4as 1to 2trey 5-12fg 1-1ft
2019-03-20,PG,"Burke, Trey",18.7,"3,500",dal,@ por, 118-126,21:51,   15pt 1rb 1as 1bl 2to 5-9fg 5-6ft
2019-03-20,SG,"Belinelli, Marco",18.7,"3,600",sas,v mia, 105-110,22:05,   17pt 1rb 1as 1to 2trey 6-12fg 3-3ft
2019-03-20,SG,"Jr, Tim",18.5,"5,300",dal,@ por, 118-126,23:42,   14pt 3as 2trey 5-10fg 2-3ft
2019-03-20,SG,"Holiday, Justin",17.9,"3,700",mem,v hou, 126-125,38:51,   8pt 2rb 1as 2st 2-8fg 4-4ft
2019-03-20,SG,"Nwaba, David",17.2,"3,800",cle,v mil, 107-102,16:56,   4pt 6rb 2bl 1-7fg 2-2ft
2019-03-20,PG,"Neto, Raul",16,"3,500",uta,@ nyk, 137-116,16:23,   7pt 6as 1trey 3-5fg
2019-03-20,PG,"Payton, Elfrid",15.6,"9,500",nor,@ orl, 96-119,24:29,   7pt 3rb 2as 1st 1to 1trey 3-7fg
2019-03-20,PG,"White, Derrick",14.4,"6,100",sas,v mia, 105-110,19:24,   3pt 2rb 4as 1st 1-8fg 1-1ft
2019-03-20,SG,"Wade, Dwyane",14.4,"5,800",mia,@ sas, 110-105,20:10,   11pt 2rb 1st 2to 1trey 5-13fg
2019-03-20,PG,"Arcidiacono, Ryan",14.1,"3,700",chi,v was, 126-120,26:55,   7pt 3rb 3as 1to 3-7fg 1-2ft
2019-03-20,PG,"Williams, Michael",14,"3,500",orl,v nor, 119-96,18:06,   4pt 5rb 2as 1bl 2to 2-4fg
2019-03-20,SG,"Shumpert, Iman",13.9,"3,700",hou,@ mem, 125-126,23:16,   4pt 2rb 1as 2st 2-4fg
2019-03-20,SG,"Dorsey, Tyler",13.5,"3,700",mem,v hou, 126-125,22:53,   6pt 5rb 1as 2trey 2-7fg
2019-03-20,SG,"Lee, Courtney",13.4,"3,500",dal,@ por, 118-126,15:23,   2pt 2rb 2as 2st 1-5fg
2019-03-20,SG,"Selden, Wayne",12.8,"3,700",chi,v was, 126-120,20:05,   5pt 4rb 2as 1st 3to 2-10fg 1-1ft
2019-03-20,SG,"Korver, Kyle",11.7,"3,800",uta,@ nyk, 137-116,20:34,   9pt 1rb 1as 3trey 3-9fg
2019-03-20,SG,"Ferguson, Terrance",11.2,"3,500",okc,v tor, 114-123,33:16,   8pt 1rb 1st 1to 2trey 3-10fg
2019-03-20,PG,"Forbes, Bryn",11,"3,700",sas,v mia, 105-110,29:02,   8pt 2as 2trey 3-9fg
2019-03-20,SG,"Stauskas, Nik",10.1,"3,800",cle,v mil, 107-102,14:48,   5pt 3rb 1as 1trey 1-4fg 2-4ft
2019-03-20,SG,"Brown, Jaylen",10.1,"4,800",bos,@ phi, 115-118,28:21,   6pt 3rb 1as 1to 3-3fg 0-1ft
2019-03-20,PG,"Lin, Jeremy",9.2,"3,800",tor,@ okc, 123-114,15:09,   6pt 1rb 1st 1to 2-5fg 2-2ft
2019-03-20,PG,"Grant, Jerian",9.2,"3,600",orl,v nor, 119-96,5:43,   5pt 1rb 1st 1trey 2-5fg
2019-03-20,SG,"Smart, Marcus",9.2,"5,200",bos,@ phi, 115-118,19:12,   3pt 1rb 4as 1to 1trey 1-4fg
2019-03-20,PG,"Harris, Devin",9.2,"3,500",dal,@ por, 118-126,9:36,   5pt 1rb 2as 1trey 2-4fg
2019-03-20,SG,"Randle, Chasson",8.4,"3,500",was,@ chi, 120-126,15:30,   4pt 2rb 1st 1to 2-5fg
2019-03-20,SG,"Blakeney, Antonio",7.3,"3,500",chi,v was, 126-120,23:22,   2pt 4rb 1as 1to 1-4fg
2019-03-20,SG,"Bertans, Dairis",5.4,"3,500",nor,@ orl, 96-119,14:41,   4pt 2rb 1to 2-6fg
2019-03-20,PG,"McConnell, TJ",5.4,"3,500",phi,v bos, 118-115,8:49,   0pt 2rb 2as 0-4fg
2019-03-20,SG,"Allen, Grayson",5,"3,500",uta,@ nyk, 137-116,7:48,   6pt 1to 1trey 2-3fg 1-2ft
2019-03-20,SG,"Rivers, Austin",4,"3,500",hou,@ mem, 125-126,15:41,   5pt 1to 1trey 2-4fg
2019-03-20,SG,"Simons, Anfernee",2,"3,500",por,v dal, 126-118,4:15,   2pt 2-4ft
2019-03-20,PG,"Frazier, Tim",1.2,"4,100",mil,@ cle, 102-107,14:37,   0pt 1rb 0-4fg
2019-03-20,SG,"McCaw, Patrick",1.2,"3,500",tor,@ okc, 123-114,4:42,   0pt 1rb
2019-03-20,SG,"Jr, Gary",0.2,"3,500",por,v dal, 126-118,6:44,   0pt 1rb 1to 0-1fg
2019-03-20,SG,"Robinson, Duncan",0,"3,500",mia,@ sas, 110-105,0,   
