Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2018-03-22,PG,"Walker, Kemba",56.6,"8,600",cha,v mem, 140-79,27:56,   46pt 3rb 4as 1st 2to 10trey 13-18fg 10-10ft
2018-03-22,PG,"Rondo, Rajon",47.4,"6,300",nor,v lal, 128-125,31:03,   24pt 2rb 10as 3st 3to 1trey 11-18fg 1-1ft
2018-03-22,SG,"Harden, James",47.1,"11,800",hou,v det, 100-96,40:23,   21pt 8rb 5as 2st 2bl 3to 4-20fg 13-18ft
2018-03-22,SG,"Mitchell, Donovan",46,"8,100",uta,@ dal, 119-112,36:02,   26pt 5rb 4as 3st 1to 1trey 11-22fg 3-4ft
2018-03-22,PG,"Rubio, Ricky",42.5,"7,400",uta,@ dal, 119-112,33:52,   22pt 5rb 3as 5st 5to 4trey 8-14fg 2-2ft
2018-03-22,SG,"Holiday, Jrue",41.6,"9,000",nor,v lal, 128-125,31:42,   26pt 3rb 6as 1st 1trey 12-16fg 1-3ft
2018-03-22,PG,"III, Frank",39.4,"3,900",sac,v atl, 105-90,29:50,   16pt 7rb 8as 1st 1bl 3to 7-13fg 2-2ft
2018-03-22,PG,"Ball, Lonzo",38.1,"7,100",lal,@ nor, 125-128,44:09,   6pt 13rb 9as 2bl 3to 1trey 2-15fg 1-2ft
2018-03-22,PG,"Barea, Jose",37.4,"5,600",dal,v uta, 112-119,27:55,   23pt 2rb 8as 5trey 9-15fg
2018-03-22,SG,"Gordon, Eric",35.1,"4,700",hou,v det, 100-96,41:52,   22pt 3rb 5as 2st 4to 3trey 8-19fg 3-4ft
2018-03-22,SG,"Pope, Kentavious",34.8,"5,500",lal,@ nor, 125-128,42:52,   28pt 4rb 2as 1to 8trey 9-15fg 2-2ft
2018-03-22,PG,"Smith, Ishmael",33.1,"5,300",det,@ hou, 96-100,32:59,   18pt 8rb 3as 1bl 2to 2trey 8-14fg
