Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2018-12-27,PG,"Ball, Lonzo",55.8,"6,000",lal,@ sac, 116-117,36:50,   20pt 9rb 12as 2st 1bl 2to 4trey 8-13fg
2018-12-27,SG,"Harden, James",53.4,"12,500",hou,v bos, 127-113,38:31,   45pt 2rb 6as 1bl 6to 9trey 11-26fg 14-17ft
2018-12-27,PG,"Simmons, Ben",52.8,"9,300",phi,@ uta, 114-97,31:13,   13pt 14rb 12as 3st 1bl 7to 6-13fg 1-2ft
2018-12-27,PG,"Irving, Kyrie",50.5,"9,300",bos,@ hou, 113-127,35:46,   23pt 5rb 11as 1st 1bl 1to 2trey 7-13fg 7-7ft
2018-12-27,PG,"Curry, Stephen",50.5,"9,700",gsw,v por, 109-110,41:38,   29pt 5rb 7as 2st 2bl 7to 6trey 11-26fg 1-3ft
2018-12-27,PG,"Fox, De",45.8,"8,500",sac,v lal, 117-116,34:56,   15pt 9rb 12as 2st 4to 6-20fg 3-4ft
2018-12-27,SG,"Shumpert, Iman",44.7,"3,800",sac,v lal, 117-116,36:54,   18pt 6rb 3as 4st 1bl 6trey 6-12fg
2018-12-27,SG,"Thompson, Klay",38.6,"6,900",gsw,v por, 109-110,39:02,   15pt 8rb 2as 3st 1bl 1to 2trey 6-19fg 1-4ft
2018-12-27,SG,"Middleton, Khris",37.7,"7,300",mil,v nyk, 112-96,32:35,   25pt 6rb 5as 2to 1trey 10-17fg 4-4ft
2018-12-27,SG,"Mitchell, Donovan",37.3,"7,400",uta,v phi, 97-114,33:21,   23pt 4rb 3as 3st 4to 3trey 10-20fg
2018-12-27,SG,"McCollum, CJ",37.3,"6,300",por,@ gsw, 110-109,39:20,   24pt 4rb 3as 1st 1bl 2to 3trey 7-22fg 7-7ft
2018-12-27,SG,"Gordon, Eric",32.8,"6,300",hou,v bos, 127-113,34:14,   20pt 4rb 4as 1st 1to 2trey 7-16fg 4-5ft
2018-12-27,PG,"Lillard, Damian",31.7,"8,900",por,@ gsw, 110-109,41:19,   21pt 1rb 5as 1st 1to 3trey 7-20fg 4-4ft
2018-12-27,SG,"Redick, JJ",31.5,"5,200",phi,@ uta, 114-97,31:43,   24pt 5rb 1as 6trey 8-12fg 2-2ft
2018-12-27,SG,"Butler, Jimmy",30.7,"8,000",phi,@ uta, 114-97,35:56,   19pt 1rb 1as 3st 1trey 7-13fg 4-4ft
2018-12-27,PG,"Exum, Dante",29.8,"3,600",uta,v phi, 97-114,21:28,   20pt 4rb 2as 1st 1to 3trey 6-14fg 5-5ft
2018-12-27,SG,"Hart, Josh",29.8,"3,700",lal,@ sac, 116-117,32:54,   10pt 4rb 2as 3st 1bl 2trey 4-8fg
2018-12-27,SG,"Bogdanovic, Bogdan",28.9,"6,300",sac,v lal, 117-116,30:17,   23pt 2rb 1as 1st 1bl 4to 3trey 9-16fg 2-3ft
2018-12-27,PG,"Mudiay, Emmanuel",28.6,"5,800",nyk,@ mil, 96-112,27:15,   13pt 3rb 6as 1bl 6-15fg 1-2ft
2018-12-27,SG,"Iguodala, Andre",27.7,"4,300",gsw,v por, 109-110,27:54,   7pt 6rb 3as 1st 2bl 1trey 2-8fg 2-2ft
2018-12-27,SG,"Brown, Jaylen",24,"4,300",bos,@ hou, 113-127,24:16,   18pt 5rb 1trey 7-12fg 3-5ft
2018-12-27,SG,"Lee, Courtney",22.4,"3,500",nyk,@ mil, 96-112,23:06,   9pt 2rb 2as 3st 1to 4-7fg 1-1ft
2018-12-27,SG,"Hield, Buddy",22,"7,200",sac,v lal, 117-116,29:18,   6pt 5rb 3st 1bl 2to 2-8fg 2-2ft
2018-12-27,PG,"McConnell, TJ",21.9,"4,200",phi,@ uta, 114-97,22:48,   10pt 2rb 7as 1to 5-7fg
2018-12-27,SG,"Brogdon, Malcolm",20.6,"5,700",mil,v nyk, 112-96,31:21,   15pt 3rb 2as 1st 4to 2trey 6-11fg 1-1ft
2018-12-27,SG,"Rivers, Austin",20.3,"3,600",hou,v bos, 127-113,33:20,   10pt 4rb 3as 1st 2to 2trey 4-8fg
2018-12-27,PG,"Bledsoe, Eric",20,"7,200",mil,v nyk, 112-96,30:51,   8pt 5rb 2as 1st 2trey 3-7fg
2018-12-27,SG,"Smart, Marcus",17.9,"4,900",bos,@ hou, 113-127,31:22,   11pt 2rb 3as 1st 3to 1trey 4-10fg 2-4ft
2018-12-27,SG,"Trier, Allonzo",17.4,"3,500",nyk,@ mil, 96-112,18:37,   7pt 2rb 4as 1bl 1to 1trey 2-10fg 2-2ft
2018-12-27,PG,"Ntilikina, Frank",16,"3,500",nyk,@ mil, 96-112,20:45,   5pt 5rb 2as 1st 1to 1trey 2-5fg
2018-12-27,PG,"Rubio, Ricky",15,"7,000",uta,v phi, 97-114,29:54,   5pt 5rb 4as 2to 1trey 1-10fg 2-2ft
2018-12-27,SG,"Dotson, Damyean",14.8,"3,600",nyk,@ mil, 96-112,28:41,   4pt 4rb 2st 1trey 1-9fg 1-2ft
2018-12-27,PG,"Curry, Seth",13.6,"3,500",por,@ gsw, 110-109,17:54,   11pt 3rb 1to 3trey 4-7fg
2018-12-27,SG,"Stauskas, Nik",12.9,"3,500",por,@ gsw, 110-109,11:41,   6pt 2rb 1as 1st 2trey 2-5fg
2018-12-27,PG,"Hill, George",11.1,"3,700",mil,v nyk, 112-96,20:21,   3pt 3rb 1as 1st 1-7fg 1-1ft
2018-12-27,SG,"Korver, Kyle",11,"3,700",uta,v phi, 97-114,20:29,   11pt 2trey 3-10fg 3-4ft
2018-12-27,SG,"Pope, Kentavious",10.6,"3,800",lal,@ sac, 116-117,27:59,   4pt 3rb 2as 2-4fg 0-1ft
2018-12-27,SG,"Snell, Tony",10.2,"3,700",mil,v nyk, 112-96,17:17,   3pt 1rb 2bl 1trey 1-3fg
2018-12-27,SG,"Korkmaz, Furkan",9.4,"3,600",phi,@ uta, 114-97,15:43,   4pt 2rb 1st 1trey 1-3fg 1-2ft
2018-12-27,PG,"Shamet, Landry",9.4,"3,500",phi,@ uta, 114-97,12:33,   7pt 2rb 1trey 2-6fg 2-2ft
2018-12-27,PG,"Livingston, Shaun",9,"3,500",gsw,v por, 109-110,15:29,   4pt 1st 1bl 1to 2-3fg
2018-12-27,PG,"Rozier, Terry",8.9,"4,000",bos,@ hou, 113-127,15:02,   5pt 2rb 1as 1trey 2-6fg
2018-12-27,PG,"Ferrell, Yogi",4,"3,600",sac,v lal, 117-116,4:29,   4pt 2-2fg
2018-12-27,SG,"Brown, Sterling",3.8,"3,500",mil,v nyk, 112-96,13:27,   0pt 4rb 1to 0-2fg
2018-12-27,SG,"McLemore, Ben",3.2,"3,500",sac,v lal, 117-116,7:52,   2pt 1rb 1-4fg
2018-12-27,PG,"Neto, Raul",1.2,"3,500",uta,v phi, 97-114,1:58,   0pt 1rb
2018-12-27,PG,"Caruso, Alex",1.2,"3,500",lal,@ sac, 116-117,3:40,   0pt 1rb
2018-12-27,PG,"Cook, Quinn",0,"3,500",gsw,v por, 109-110,2:39,   0pt 0-1fg
2018-12-27,PG,"Jackson, Demetrius",0,"3,500",phi,@ uta, 114-97,1:58,   0pt 0-1fg
2018-12-27,SG,"Mykhailiuk, Sviatoslav",0,"3,500",lal,@ sac, 116-117,00:48,   0pt
2018-12-27,SG,"III, Jacob",0,"3,500",gsw,v por, 109-110,0,   
2018-12-27,SG,"III, Frank",0,"3,500",sac,v lal, 117-116,0,   
2018-12-27,PG,"Baldwin, Wade",0,"3,500",por,@ gsw, 110-109,0,   
2018-12-27,SG,"DiVincenzo, Donte",0,"3,500",mil,v nyk, 112-96,0,   
2018-12-27,PG,"Williams, Michael",0,"3,700",hou,v bos, 127-113,0,   
2018-12-27,SG,"Connaughton, Pat",0,"4,000",mil,v nyk, 112-96,0,   
2018-12-27,PG,"Knight, Brandon",0,"3,500",hou,v bos, 127-113,0,   
2018-12-27,PG,"Wanamaker, Brad",0,"3,500",bos,@ hou, 113-127,0,   
2018-12-27,PG,"Burke, Trey",0,"3,600",nyk,@ mil, 96-112,0,   
2018-12-27,SG,"Morris, Jaylen",0,"3,500",mil,v nyk, 112-96,0,   
2018-12-27,SG,"Jr, Tim",0,"6,400",nyk,@ mil, 96-112,0,   
2018-12-27,SG,"Simons, Anfernee",0,"3,500",por,@ gsw, 110-109,0,   
2018-12-27,SG,"Milton, Shake",0,"3,500",phi,@ uta, 114-97,0,   
2018-12-27,SG,"Dozier, PJ",0,"3,500",bos,@ hou, 113-127,0,   
2018-12-27,SG,"Allen, Grayson",0,"3,500",uta,v phi, 97-114,0,   
2018-12-27,SG,"Jr, Gary",0,"3,500",por,@ gsw, 110-109,0,   
2018-12-27,SG,"Fultz, Markelle",0,"3,500",phi,@ uta, 114-97,0,   
2018-12-27,PG,"Paul, Chris",0,"8,500",hou,v bos, 127-113,0,   
2018-12-27,PG,"Rondo, Rajon",0,"6,100",lal,@ sac, 116-117,0,   
2018-12-27,SG,"Bird, Jabari",0,"3,600",bos,@ hou, 113-127,0,   
2018-12-27,SG,"Long, Nazareth",0,"3,500",uta,v phi, 97-114,0,   
2018-12-27,PG,"Duval, Trevon",0,"3,500",mil,v nyk, 112-96,0,   
2018-12-27,SG,"Lee, Damion",0,"3,500",gsw,v por, 109-110,0,   
2018-12-27,SG,"Smith, Zhaire",0,"3,500",phi,@ uta, 114-97,0,   
