Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2016-12-30,SG,"Harden, James",66.6,"11,100",hou,v lac, 140-116,33:39,   30pt 13rb 10as 5st 1bl 6to 2trey 10-15fg 8-9ft
2016-12-30,PG,"Thomas, Isaiah",54.4,"8,400",bos,v mia, 117-114,37:09,   52pt 2rb 1st 2to 9trey 15-26fg 13-13ft
2016-12-30,SG,"Richardson, Josh",47.2,"4,400",mia,@ bos, 114-117,34:33,   19pt 6rb 8as 4st 2bl 3to 2trey 8-17fg 1-1ft
2016-12-30,PG,"Wall, John",46.4,"10,000",was,v bkn, 118-95,31:53,   19pt 2rb 14as 4st 1bl 6to 1trey 7-14fg 4-4ft
2016-12-30,SG,"Antetokounmpo, Giannis",41.9,"10,300",mil,@ min, 99-116,32:00,   25pt 7rb 5as 1st 1bl 3to 11-14fg 3-4ft
2016-12-30,PG,"Felton, Raymond",41,"3,800",lac,@ hou, 116-140,31:08,   26pt 5rb 8as 1st 5to 4trey 10-20fg 2-2ft
2016-12-30,PG,"Teague, Jeff",40.7,"7,600",ind,v chi, 111-101,34:53,   7pt 6rb 17as 2st 3to 2-13fg 3-4ft
2016-12-30,SG,"Thompson, Klay",38.8,"6,400",gsw,v dal, 108-99,35:42,   29pt 4rb 2as 1st 1bl 2to 5trey 11-19fg 2-2ft
2016-12-30,PG,"Holiday, Jrue",38.3,"7,000",nor,v nyk, 104-92,35:03,   12pt 4rb 11as 1st 2bl 1to 5-10fg 2-2ft
2016-12-30,PG,"Mudiay, Emmanuel",36.3,"4,800",den,v phi, 122-124,29:14,   22pt 4rb 5as 1st 3trey 7-11fg 5-8ft
2016-12-30,PG,"Jackson, Reggie",34.8,"5,500",det,@ atl, 98-105,32:01,   20pt 4rb 8as 1st 4to 2trey 7-17fg 4-4ft
2016-12-30,PG,"Burke, Trey",34.4,"3,500",was,v bkn, 118-95,30:09,   27pt 2rb 2as 2st 2to 5trey 10-12fg 2-2ft
2016-12-30,PG,"Johnson, Tyler",33.8,"5,800",mia,@ bos, 114-117,29:22,   19pt 4rb 6as 1bl 1to 1trey 8-13fg 2-2ft
2016-12-30,SG,"McCollum, CJ",31.9,"7,100",por,@ sas, 94-110,33:12,   29pt 2rb 1as 1st 3to 1trey 10-19fg 8-8ft
2016-12-30,SG,"Wade, Dwyane",30.9,"6,900",chi,@ ind, 101-111,30:19,   20pt 2rb 5as 2st 3to 1trey 8-18fg 3-4ft
2016-12-30,SG,"LaVine, Zach",30.4,"6,500",min,v mil, 116-99,39:13,   24pt 2rb 4as 2to 6trey 9-17fg
2016-12-30,PG,"Beverley, Patrick",29.9,"5,800",hou,v lac, 140-116,32:46,   15pt 7rb 3as 1st 2trey 5-9fg 3-3ft
