Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2018-12-02,PG,"Lillard, Damian",59.4,"9,600",por,@ sas, 118-131,41:23,   37pt 2rb 10as 2st 1to 3trey 12-28fg 10-10ft
2018-12-02,SG,"DeRozan, DeMar",56.6,"8,600",sas,v por, 131-118,38:26,   36pt 8rb 6as 2st 4to 13-27fg 10-10ft
2018-12-02,PG,"Simmons, Ben",45.4,"9,400",phi,v mem, 103-95,37:05,   19pt 12rb 6as 2st 3to 8-10fg 3-8ft
2018-12-02,PG,"Rubio, Ricky",38,"6,400",uta,@ mia, 100-102,36:05,   23pt 5rb 6as 1st 3to 2trey 9-13fg 3-3ft
2018-12-02,PG,"Conley, Mike",35.9,"9,200",mem,@ phi, 95-103,33:29,   21pt 2rb 5as 1st 1bl 1to 3trey 6-17fg 6-7ft
2018-12-02,SG,"Wade, Dwyane",35.6,"5,700",mia,v uta, 102-100,30:26,   15pt 3rb 8as 1st 1bl 1to 2trey 4-15fg 5-5ft
2018-12-02,SG,"Holiday, Jrue",33.8,"9,200",nor,@ cha, 119-109,31:32,   19pt 4rb 8as 2to 1trey 7-13fg 4-6ft
2018-12-02,SG,"Williams, Louis",33.6,"6,200",lac,@ dal, 110-114,26:25,   21pt 3rb 8as 3to 2trey 8-16fg 3-3ft
2018-12-02,PG,"Barea, Jose",33,"5,900",dal,v lac, 114-110,26:45,   24pt 5rb 4as 3to 1trey 9-18fg 5-5ft
2018-12-02,SG,"McCollum, CJ",29.9,"6,800",por,@ sas, 118-131,38:33,   24pt 2rb 3as 1bl 4to 2trey 11-22fg
2018-12-02,SG,"Mitchell, Donovan",29.5,"7,900",uta,@ mia, 100-102,37:40,   18pt 5rb 3as 1st 2to 1trey 8-24fg 1-1ft
2018-12-02,PG,"Jr, Dennis",29.1,"6,000",dal,v lac, 114-110,32:13,   9pt 3rb 5as 2st 2bl 3to 1trey 3-7fg 2-2ft
2018-12-02,PG,"Walker, Kemba",28.1,"9,700",cha,v nor, 109-119,32:30,   13pt 3rb 5as 1st 1bl 2to 5-16fg 3-5ft
2018-12-02,SG,"Butler, Jimmy",27.6,"8,500",phi,v mem, 103-95,32:52,   21pt 3rb 2as 1bl 3to 7-17fg 7-8ft
2018-12-02,SG,"Matthews, Wes",27.2,"4,700",dal,v lac, 114-110,30:32,   14pt 6rb 4as 1st 3to 2trey 5-13fg 2-2ft
2018-12-02,PG,"Ball, Lonzo",26.8,"6,600",lal,v pho, 120-96,30:34,   7pt 4rb 4as 4st 3to 3-10fg 1-2ft
2018-12-02,SG,"Redick, JJ",26.6,"5,600",phi,v mem, 103-95,30:15,   24pt 3rb 1to 3trey 9-17fg 3-3ft
2018-12-02,SG,"Lamb, Jeremy",25.2,"6,100",cha,v nor, 109-119,32:53,   11pt 6rb 2as 2st 2to 1trey 4-8fg 2-3ft
2018-12-02,SG,"Bradley, Avery",25.1,"3,500",lac,@ dal, 110-114,36:15,   12pt 3rb 3as 2st 1to 2trey 5-11fg
2018-12-02,SG,"Ellington, Wayne",24.9,"5,500",mia,v uta, 102-100,37:12,   12pt 7rb 1as 1st 4trey 4-13fg
2018-12-02,PG,"Mills, Patty",24.2,"3,700",sas,v por, 131-118,24:46,   15pt 1rb 6as 1to 3trey 5-8fg 2-2ft
2018-12-02,PG,"White, Derrick",24,"3,900",sas,v por, 131-118,32:52,   10pt 5rb 6as 1to 1trey 4-7fg 1-2ft
2018-12-02,PG,"Beverley, Patrick",21.3,"3,500",lac,@ dal, 110-114,16:59,   3pt 4rb 3as 1st 2bl 1trey 1-4fg
2018-12-02,PG,"Frazier, Tim",20.7,"4,400",nor,@ cha, 119-109,38:16,   7pt 1rb 9as 1to 1trey 3-6fg
2018-12-02,PG,"Parker, Tony",19.7,"3,800",cha,v nor, 109-119,24:06,   10pt 1rb 5as 1st 2to 3-6fg 4-4ft
2018-12-02,PG,"Graham, Devonte",18.7,"3,500",cha,v nor, 109-119,17:36,   8pt 1rb 3as 2st 1to 2trey 3-7fg
2018-12-02,SG,"Temple, Garrett",18.3,"4,100",mem,@ phi, 95-103,31:21,   12pt 4rb 1as 3trey 4-9fg 1-2ft
2018-12-02,SG,"Crawford, Jamal",17,"3,700",pho,@ lal, 96-120,17:09,   8pt 4as 1st 1bl 3to 2trey 2-6fg 2-2ft
2018-12-02,SG,"Korkmaz, Furkan",16.2,"3,500",phi,v mem, 103-95,15:08,   6pt 1rb 2as 2st 2trey 2-4fg
2018-12-02,SG,"Hart, Josh",15,"3,600",lal,v pho, 120-96,17:55,   6pt 2as 1st 1bl 2trey 2-5fg
2018-12-02,SG,"Monk, Malik",14.7,"3,700",cha,v nor, 109-119,9:30,   4pt 1rb 3as 2st 1to 1-5fg 2-2ft
2018-12-02,PG,"Alexander, Shai",14.2,"5,400",lac,@ dal, 110-114,24:17,   8pt 1rb 1st 1bl 1to 2-5fg 4-4ft
2018-12-02,PG,"Forbes, Bryn",13.6,"3,700",sas,v por, 131-118,22:57,   7pt 3rb 2as 1trey 3-6fg
2018-12-02,PG,"McConnell, TJ",13.1,"3,700",phi,v mem, 103-95,31:15,   6pt 3rb 3as 1to 3-4fg
2018-12-02,SG,"Daniels, Troy",12.6,"3,500",pho,@ lal, 96-120,15:13,   9pt 3rb 3trey 3-6fg
2018-12-02,SG,"Brooks, MarShon",12.4,"3,500",mem,@ phi, 95-103,20:44,   12pt 2rb 2to 5-10fg 2-2ft
2018-12-02,SG,"Booker, Devin",12.2,"8,200",pho,@ lal, 96-120,17:05,   6pt 1rb 2as 1bl 1to 3-8fg
2018-12-02,SG,"Clark, Ian",11.9,"3,500",nor,@ cha, 119-109,9:44,   2pt 2rb 3as 1bl 1-2fg
2018-12-02,PG,"Melton, De",9.9,"3,500",pho,@ lal, 96-120,8:13,   3pt 2rb 3as 1trey 1-3fg
2018-12-02,SG,"Pope, Kentavious",9.6,"4,000",lal,v pho, 120-96,21:53,   6pt 3rb 1trey 2-4fg 1-1ft
2018-12-02,PG,"Mack, Shelvin",9.2,"4,000",mem,@ phi, 95-103,20:44,   2pt 1rb 4as 1-5fg
2018-12-02,PG,"Okobo, Elie",7.2,"4,400",pho,@ lal, 96-120,29:39,   3pt 1rb 4as 3to 1trey 1-9fg
2018-12-02,SG,"Thornwell, Sindarius",5.4,"3,500",lac,@ dal, 110-114,5:22,   0pt 2rb 1bl
2018-12-02,SG,"Korver, Kyle",4.4,"3,700",uta,@ mia, 100-102,17:23,   3pt 2rb 1to 1trey 1-6fg
2018-12-02,PG,"Harris, Devin",4.2,"4,200",dal,v lac, 114-110,17:22,   3pt 1rb 1-5fg 1-1ft
2018-12-02,PG,"Neto, Raul",3.5,"3,600",uta,@ mia, 100-102,3:07,   2pt 1as 1-1fg
2018-12-02,PG,"Teodosic, Milos",3,"3,500",lac,@ dal, 110-114,1:06,   0pt 1st
2018-12-02,PG,"Curry, Seth",2.9,"3,500",por,@ sas, 118-131,16:18,   2pt 2rb 1as 3to 1-2fg
2018-12-02,SG,"Stauskas, Nik",2,"3,700",por,@ sas, 118-131,18:08,   3pt 1to 1trey 1-3fg
2018-12-02,PG,"Shamet, Landry",1,"3,500",phi,v mem, 103-95,17:45,   4pt 3to 1trey 1-4fg 1-1ft
2018-12-02,PG,"Exum, Dante",1,"3,500",uta,@ mia, 100-102,1:55,   1pt 0-1fg 1-2ft
2018-12-02,SG,"Mykhailiuk, Sviatoslav",0.5,"3,500",lal,v pho, 120-96,7:04,   0pt 1as 1to 0-1fg
2018-12-02,PG,"Brunson, Jalen",0,"3,500",dal,v lac, 114-110,5:22,   0pt 0-2fg
2018-12-02,SG,"Pondexter, Quincy",0,"3,600",sas,v por, 131-118,00:17,   0pt
2018-12-02,SG,"McGruder, Rodney",0,"5,000",mia,v uta, 102-100,5:07,   0pt 0-1fg
2018-12-02,SG,"Simons, Anfernee",0,"3,500",por,@ sas, 118-131,0,   
2018-12-02,SG,"Milton, Shake",0,"3,500",phi,v mem, 103-95,0,   
2018-12-02,PG,"Baldwin, Wade",0,"3,500",por,@ sas, 118-131,0,   
2018-12-02,SG,"Allen, Grayson",0,"3,500",uta,@ mia, 100-102,0,   
2018-12-02,SG,"Belinelli, Marco",0,"3,700",sas,v por, 131-118,0,   
2018-12-02,SG,"Wallace, Tyrone",0,"3,500",lac,@ dal, 110-114,0,   
2018-12-02,SG,"Jr, Gary",0,"3,500",por,@ sas, 118-131,0,   
2018-12-02,SG,"Selden, Wayne",0,"3,500",mem,@ phi, 95-103,0,   
2018-12-02,PG,"Carter, Jevon",0,"3,500",mem,@ phi, 95-103,0,   
2018-12-02,PG,"Jackson, Demetrius",0,"3,500",phi,v mem, 103-95,0,   
2018-12-02,PG,"Johnson, Tyler",0,"5,600",mia,v uta, 102-100,0,   
2018-12-02,PG,"Jackson, Frank",0,"3,500",nor,@ cha, 119-109,0,   
