Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2017-12-27,PG,"Westbrook, Russell",58.1,"11,600",okc,v tor, 124-107,35:29,   30pt 8rb 13as 2st 7to 11-22fg 8-10ft
2017-12-27,SG,"Evans, Tyreke",48.9,"8,500",mem,@ lal, 109-99,31:54,   32pt 7rb 7as 2to 2trey 8-17fg 14-15ft
2017-12-27,PG,"Rondo, Rajon",47.9,"5,500",nor,v bkn, 128-113,29:43,   2pt 7rb 25as 1st 3to 1-5fg
2017-12-27,SG,"Beal, Bradley",46.7,"7,800",was,@ atl, 99-113,34:39,   20pt 6rb 3as 3st 2bl 2trey 7-19fg 4-4ft
2017-12-27,SG,"Bogdanovic, Bogdan",42.6,"5,100",sac,v cle, 109-95,30:30,   16pt 3rb 8as 4st 1bl 4to 3trey 6-9fg 1-1ft
2017-12-27,PG,"Murray, Jamal",40.4,"6,100",den,@ min, 125-128,46:06,   21pt 7rb 8as 1to 2trey 8-20fg 3-3ft
2017-12-27,SG,"Hood, Rodney",40,"5,400",uta,@ gsw, 101-126,29:16,   26pt 5rb 3st 1to 2trey 9-20fg 6-8ft
2017-12-27,PG,"Lowry, Kyle",38.8,"8,200",tor,@ okc, 107-124,30:07,   13pt 4rb 10as 3st 3to 2trey 3-10fg 5-5ft
2017-12-27,SG,"Holiday, Jrue",38.2,"7,700",nor,v bkn, 128-113,35:19,   23pt 1rb 2as 2st 2bl 1to 3trey 10-17fg
2017-12-27,SG,"Barton, Will",38.1,"6,200",den,@ min, 125-128,33:50,   28pt 3rb 5as 1to 4trey 10-17fg 4-5ft
2017-12-27,PG,"Teague, Jeff",38,"6,700",min,v den, 128-125,35:34,   11pt 5rb 10as 2st 1trey 5-12fg
2017-12-27,PG,"Dunn, Kris",37.5,"7,900",chi,v nyk, 92-87,32:00,   17pt 5rb 5as 2st 1bl 2to 1trey 6-18fg 4-4ft
2017-12-27,PG,"Schroder, Dennis",37.3,"8,000",atl,v was, 113-99,32:08,   21pt 4rb 7as 1st 2to 1trey 7-15fg 6-7ft
2017-12-27,SG,"Mitchell, Donovan",35.9,"7,200",uta,@ gsw, 101-126,34:46,   17pt 7rb 3as 2st 1bl 3to 1trey 6-17fg 4-5ft
2017-12-27,SG,"LeVert, Caris",35.7,"5,700",bkn,@ nor, 113-128,30:44,   22pt 6rb 7as 4to 3trey 8-15fg 3-5ft
2017-12-27,PG,"Irving, Kyrie",34.4,"8,600",bos,@ cha, 102-91,31:20,   21pt 2rb 8as 1to 3trey 8-19fg 2-2ft
2017-12-27,PG,"Rozier, Terry",32.8,"3,800",bos,@ cha, 102-91,26:16,   15pt 4rb 4as 1st 2bl 2to 3trey 5-10fg 2-2ft
2017-12-27,PG,"Collison, Darren",32.1,"5,600",ind,v dal, 94-98,34:54,   16pt 3rb 7as 1st 1to 2trey 5-13fg 4-4ft
2017-12-27,SG,"Clarkson, Jordan",30.8,"5,500",lal,v mem, 99-109,37:53,   22pt 4rb 2as 1bl 2to 5trey 7-17fg 3-5ft
2017-12-27,SG,"Belinelli, Marco",30.1,"3,500",atl,v was, 113-99,20:42,   19pt 3rb 1as 1st 1bl 2trey 7-11fg 3-3ft
2017-12-27,SG,"Bazemore, Kent",29.7,"6,100",atl,v was, 113-99,25:55,   11pt 6rb 7as 1bl 2to 3trey 4-10fg
2017-12-27,PG,"Walker, Kemba",28.7,"7,500",cha,v bos, 91-102,36:01,   24pt 1rb 5as 4to 4trey 9-22fg 2-2ft
2017-12-27,SG,"Wiggins, Andrew",27.6,"5,700",min,v den, 128-125,42:02,   21pt 3rb 1bl 5trey 7-13fg 2-5ft
2017-12-27,SG,"Stauskas, Nik",27.6,"3,500",bkn,@ nor, 113-128,25:49,   21pt 3rb 2as 7trey 7-12fg
2017-12-27,SG,"Roberson, Andre",27,"4,000",okc,v tor, 124-107,34:58,   6pt 10rb 2as 1st 1bl 2-3fg 2-6ft
2017-12-27,SG,"Matthews, Wes",26.3,"5,500",dal,@ ind, 98-94,32:07,   12pt 4rb 3as 2st 1to 1trey 5-9fg 1-1ft
