Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2018-01-11,PG,"Ball, Lonzo",46,"7,800",lal,v sas, 93-81,35:56,   18pt 10rb 6as 4st 5to 4trey 7-11fg
2018-01-11,PG,"Murray, Dejounte",45.7,"3,800",sas,@ lal, 81-93,26:24,   14pt 11rb 5as 3st 1bl 1to 7-14fg
2018-01-11,SG,"Williams, Louis",45,"8,900",lac,@ sac, 121-115,34:39,   30pt 6as 2st 1bl 3to 5trey 10-24fg 5-5ft
2018-01-11,PG,"Hill, George",36.1,"4,600",sac,v lac, 115-121,35:13,   21pt 3rb 3as 2st 1bl 2to 1trey 5-13fg 10-13ft
2018-01-11,PG,"VanVleet, Fred",35.8,"3,600",tor,v cle, 133-99,24:01,   22pt 4rb 4as 1st 6trey 8-11fg
2018-01-11,SG,"Redick, JJ",34.9,"5,200",phi,v bos, 103-114,30:05,   22pt 7rb 3as 1bl 3to 5trey 7-12fg 3-3ft
2018-01-11,PG,"Irving, Kyrie",32.7,"8,200",bos,@ phi, 114-103,31:26,   20pt 6rb 7as 5to 3trey 7-20fg 3-3ft
2018-01-11,PG,"McConnell, TJ",32.3,"4,400",phi,v bos, 103-114,26:28,   12pt 4rb 5as 3st 1to 6-11fg
2018-01-11,SG,"Pope, Kentavious",30.8,"5,100",lal,v sas, 93-81,32:20,   10pt 4rb 2as 5st 2to 2trey 4-10fg 0-1ft
2018-01-11,SG,"Bogdanovic, Bogdan",28.8,"5,500",sac,v lac, 115-121,30:54,   22pt 4rb 2as 1to 4trey 7-11fg 4-4ft
2018-01-11,SG,"DeRozan, DeMar",28.6,"9,600",tor,v cle, 133-99,28:57,   13pt 3rb 8as 3trey 5-13fg
2018-01-11,SG,"Powell, Norman",25.7,"3,800",tor,v cle, 133-99,27:08,   14pt 6rb 3as 1bl 3to 2trey 6-15fg 0-1ft
2018-01-11,SG,"Hield, Buddy",24.3,"4,500",sac,v lac, 115-121,31:33,   14pt 4rb 5as 2to 2trey 5-13fg 2-3ft
2018-01-11,SG,"Forbes, Bryn",24.2,"3,500",sas,@ lal, 81-93,37:13,   18pt 1rb 2st 1to 4trey 7-12fg 0-2ft
2018-01-11,PG,"Fox, De",24,"6,300",sac,v lac, 115-121,29:22,   8pt 6as 3st 2to 3-10fg 2-2ft
2018-01-11,PG,"Teodosic, Milos",21.7,"5,400",lac,@ sac, 121-115,25:32,   10pt 1rb 9as 3to 2trey 4-9fg
2018-01-11,SG,"Wallace, Tyrone",21.6,"3,600",lac,@ sac, 121-115,36:37,   8pt 3rb 2as 2st 1bl 2to 1trey 3-7fg 1-2ft
2018-01-11,PG,"Wright, Delon",19.4,"5,700",tor,v cle, 133-99,18:08,   6pt 2rb 4as 2bl 1to 3-9fg
2018-01-11,PG,"Rozier, Terry",16.3,"4,500",bos,@ phi, 114-103,21:27,   8pt 4rb 1as 1st 1to 2trey 3-7fg
2018-01-11,PG,"Evans, Jawun",16.2,"5,100",lac,@ sac, 121-115,22:28,   4pt 1rb 2as 1st 2bl 1to 1-4fg 2-2ft
2018-01-11,SG,"Smart, Marcus",14.2,"6,000",bos,@ phi, 114-103,22:56,   5pt 1rb 2as 3st 4to 1trey 1-4fg 2-2ft
2018-01-11,SG,"Clarkson, Jordan",13.6,"4,000",lal,v sas, 93-81,14:06,   5pt 3rb 2as 1st 1to 2-8fg 1-2ft
2018-01-11,PG,"Brown, Lorenzo",13.5,"3,500",tor,v cle, 133-99,19:03,   6pt 5as 3-8fg
2018-01-11,SG,"Ginobili, Manu",13.2,"4,400",sas,@ lal, 81-93,21:32,   8pt 1rb 4as 2to 1trey 3-5fg 1-1ft
2018-01-11,PG,"Thomas, Isaiah",12.9,"5,400",cle,@ tor, 99-133,24:34,   4pt 2rb 3as 1bl 1to 2-15fg
2018-01-11,SG,"Temple, Garrett",10.2,"3,800",sac,v lac, 115-121,17:08,   0pt 1rb 4as 1st 0-2fg
2018-01-11,PG,"Calderon, Jose",10.2,"3,500",cle,@ tor, 99-133,6:36,   6pt 1rb 2as 3-3fg
2018-01-11,SG,"Wade, Dwyane",8.5,"5,400",cle,@ tor, 99-133,17:53,   4pt 3as 2-8fg
2018-01-11,SG,"Hart, Josh",8.4,"3,500",lal,v sas, 93-81,12:43,   6pt 2rb 2trey 2-3fg
2018-01-11,PG,"Mills, Patty",8.1,"4,000",sas,@ lal, 81-93,19:45,   0pt 3rb 5as 3to 0-5fg
2018-01-11,SG,"Korver, Kyle",7.9,"3,800",cle,@ tor, 99-133,18:48,   6pt 2rb 1as 2to 2trey 2-6fg
2018-01-11,PG,"Bayless, Jerryd",6.2,"3,500",phi,v bos, 103-114,17:05,   3pt 1rb 1st 1to 1trey 1-2fg
2018-01-11,SG,"Luwawu, Timothe",6,"3,500",phi,v bos, 103-114,11:51,   6pt 0-1fg 6-7ft
2018-01-11,PG,"Ennis, Tyler",4.2,"3,700",lal,v sas, 93-81,12:04,   0pt 1rb 2as 0-2fg
2018-01-11,PG,"White, Derrick",4,"3,500",sas,@ lal, 81-93,7:02,   4pt 1trey 1-1fg 1-2ft
2018-01-11,SG,"Smith, JR",2.7,"3,600",cle,@ tor, 99-133,27:01,   0pt 1rb 1as 0-5fg
2018-01-11,SG,"Paul, Brandon",1.4,"3,500",sas,@ lal, 81-93,7:53,   0pt 2rb 1to 0-2fg
2018-01-11,SG,"Nader, Abdel",0,"3,500",bos,@ phi, 114-103,1:47,   0pt
2018-01-11,PG,"Fultz, Markelle",0,"3,500",phi,v bos, 103-114,0,   
2018-01-11,PG,"Thornwell, Sindarius",0,"3,500",lac,@ sac, 121-115,0,   
2018-01-11,SG,"Williams, CJ",0,"4,600",lac,@ sac, 121-115,0,   
2018-01-11,PG,"Parker, Tony",0,"3,800",sas,@ lal, 81-93,0,   
2018-01-11,SG,"Hilliard, Darrun",0,"3,500",sas,@ lal, 81-93,0,   
2018-01-11,PG,"III, Frank",0,"3,700",sac,v lac, 115-121,0,   
2018-01-11,SG,"Korkmaz, Furkan",0,"3,500",phi,v bos, 103-114,0,   
2018-01-11,SG,"Richardson, Malachi",0,"3,500",sac,v lac, 115-121,0,   
2018-01-11,PG,"Rose, Derrick",0,"4,400",cle,@ tor, 99-133,0,   
2018-01-11,PG,"Lowry, Kyle",0,"8,500",tor,v cle, 133-99,0,   
2018-01-11,PG,"Perrantes, London",0,"3,500",cle,@ tor, 99-133,0,   
2018-01-11,SG,"Shumpert, Iman",0,"3,600",cle,@ tor, 99-133,0,   
2018-01-11,SG,"Young, James",0,"3,500",phi,v bos, 103-114,0,   
2018-01-11,SG,"Caruso, Alex",0,"3,500",lal,v sas, 93-81,0,   
2018-01-11,SG,"Green, Danny",0,"3,700",sas,@ lal, 81-93,0,   
2018-01-11,SG,"Bird, Jabari",0,"3,500",bos,@ phi, 114-103,0,   
2018-01-11,PG,"Allen, Kadeem",0,"3,800",bos,@ phi, 114-103,0,   
2018-01-11,SG,"Blue, Vander",0,"3,500",lal,v sas, 93-81,0,   
2018-01-11,PG,"Rivers, Austin",0,"5,300",lac,@ sac, 121-115,0,   
2018-01-11,PG,"Larkin, Shane",-0.8,"3,500",bos,@ phi, 114-103,9:30,   0pt 1rb 2to
2018-01-11,PF,"Griffin, Blake",40.4,"8,800",lac,@ sac, 121-115,32:53,   18pt 12rb 6as 1st 4to 2trey 5-14fg 6-6ft
2018-01-11,SF,"James, LeBron",38.1,"11,500",cle,@ tor, 99-133,32:14,   26pt 3rb 1as 1st 2bl 2to 9-16fg 8-10ft
2018-01-11,SF,"Ingram, Brandon",36.1,"6,600",lal,v sas, 93-81,36:51,   26pt 3rb 3as 1st 1to 2trey 11-21fg 2-5ft
2018-01-11,PF,"Nance, Larry",36,"4,400",lal,v sas, 93-81,30:26,   14pt 10rb 2as 2st 1bl 2to 6-9fg 2-2ft
2018-01-11,SF,"Brown, Jaylen",35.8,"5,300",bos,@ phi, 114-103,31:44,   21pt 4rb 2as 3st 2to 2trey 8-15fg 3-5ft
2018-01-11,PF,"Siakam, Pascal",34.6,"3,500",tor,v cle, 133-99,23:30,   16pt 8rb 4as 1st 7-10fg 2-3ft
2018-01-11,PF,"Morris, Marcus",34.6,"4,100",bos,@ phi, 114-103,24:01,   19pt 8rb 2as 1st 3trey 7-13fg 2-2ft
2018-01-11,PF,"Harrell, Montrezl",33.2,"4,200",lac,@ sac, 121-115,27:04,   25pt 6rb 1st 2to 11-12fg 3-9ft
2018-01-11,PF,"Simmons, Ben",31.9,"9,000",phi,v bos, 103-114,28:32,   16pt 2rb 3as 2st 2bl 3to 8-12fg
2018-01-11,PF,"Kuzma, Kyle",29.2,"5,100",lal,v sas, 93-81,29:55,   10pt 6rb 4as 2st 2trey 3-12fg 2-2ft
2018-01-11,PF,"Saric, Dario",27.3,"6,300",phi,v bos, 103-114,33:35,   14pt 4rb 3as 2st 2to 1trey 4-11fg 5-5ft
2018-01-11,PF,"Randolph, Zach",26.9,"4,900",sac,v lac, 115-121,26:41,   16pt 7rb 1as 1st 2to 7-15fg 2-2ft
2018-01-11,PF,"Aldridge, LaMarcus",26.3,"9,900",sas,@ lal, 81-93,35:15,   20pt 4rb 1as 1bl 3to 1trey 6-15fg 7-8ft
2018-01-11,SF,"Miles, CJ",25,"3,800",tor,v cle, 133-99,18:41,   16pt 5rb 2as 4trey 6-12fg
2018-01-11,PF,"Theis, Daniel",23.4,"3,800",bos,@ phi, 114-103,19:43,   6pt 7rb 2st 1bl 3-3fg 0-1ft
2018-01-11,PF,"Tatum, Jayson",22.8,"6,200",bos,@ phi, 114-103,24:22,   16pt 4rb 2as 1to 1trey 7-13fg 1-2ft
2018-01-11,SF,"Johnson, Wesley",19.1,"4,000",lac,@ sac, 121-115,24:44,   13pt 3rb 1as 1st 2to 3trey 4-7fg 2-2ft
2018-01-11,PF,"Crowder, Jae",18.4,"3,900",cle,@ tor, 99-133,18:40,   11pt 2rb 2st 1to 1trey 4-6fg 2-2ft
2018-01-11,SF,"Anderson, Kyle",16.9,"5,600",sas,@ lal, 81-93,28:52,   6pt 7rb 1as 1st 2to 3-5fg
2018-01-11,PF,"Green, Jeff",14.6,"4,400",cle,@ tor, 99-133,22:23,   13pt 3rb 2to 1trey 4-9fg 4-4ft
2018-01-11,SF,"Anunoby, OG",13.6,"3,500",tor,v cle, 133-99,26:41,   7pt 3rb 1bl 1trey 2-8fg 2-2ft
2018-01-11,SF,"Osman, Cedi",11.6,"3,500",cle,@ tor, 99-133,15:44,   5pt 3rb 2as 1-3fg 3-3ft
2018-01-11,PF,"Labissiere, Skal",10.3,"4,200",sac,v lac, 115-121,21:06,   8pt 4rb 1as 4to 1trey 2-5fg 3-4ft
2018-01-11,PF,"Miller, Malcolm",8.4,"3,500",tor,v cle, 133-99,5:51,   6pt 2rb 2trey 2-3fg
2018-01-11,SF,"Anderson, Justin",7.2,"3,500",phi,v bos, 103-114,3:50,   6pt 1rb 2trey 2-4fg
2018-01-11,PF,"Booker, Trevor",6.2,"3,500",phi,v bos, 103-114,10:16,   2pt 1rb 1st 1-2fg
2018-01-11,SF,"Covington, Robert",6.1,"5,500",phi,v bos, 103-114,30:18,   5pt 3rb 1as 4to 1trey 2-8fg
2018-01-11,SF,"Dekker, Sam",4.6,"3,600",lac,@ sac, 121-115,15:07,   1pt 3rb 0-1fg 1-2ft
2018-01-11,PF,"Bertans, Davis",1.4,"4,500",sas,@ lal, 81-93,16:46,   2pt 2rb 3to 0-2fg 2-2ft
2018-01-11,PF,"Yabusele, Guerschon",0,"3,500",bos,@ phi, 114-103,1:47,   0pt 0-1fg
2018-01-11,SF,"Carter, Vince",0,"4,200",sac,v lac, 115-121,0,   
2018-01-11,SF,"Jackson, Justin",0,"3,500",sac,v lac, 115-121,0,   
2018-01-11,PF,"Ibaka, Serge",0,"6,800",tor,v cle, 133-99,0,   
2018-01-11,PF,"Johnson, Amir",0,"3,600",phi,v bos, 103-114,0,   
2018-01-11,SF,"Brewer, Corey",0,"3,500",lal,v sas, 93-81,0,   
2018-01-11,PF,"McAdoo, James",0,"3,500",phi,v bos, 103-114,0,   
2018-01-11,PF,"Johnson, Brice",0,"3,600",lac,@ sac, 121-115,0,   
2018-01-11,PF,"Giles, Harry",0,"3,500",sac,v lac, 115-121,0,   
2018-01-11,SF,"Holland, John",0,"3,500",cle,@ tor, 99-133,0,   
2018-01-11,SF,"Caboclo, Bruno",0,"3,500",tor,v cle, 133-99,0,   
2018-01-11,SF,"Gallinari, Danilo",0,"6,800",lac,@ sac, 121-115,0,   
2018-01-11,SF,"Leonard, Kawhi",0,"9,500",sas,@ lal, 81-93,0,   
2018-01-11,SF,"Hayward, Gordon",0,"6,700",bos,@ phi, 114-103,0,   
2018-01-11,SF,"Gay, Rudy",0,"4,100",sas,@ lal, 81-93,0,   
2018-01-11,SF,"Deng, Luol",0,"3,500",lal,v sas, 93-81,0,   
2018-01-11,SF,"Sampson, JaKarr",0,"3,500",sac,v lac, 115-121,0,   
2018-01-11,PF,"McKinnie, Alfonzo",0,"3,500",tor,v cle, 133-99,0,   
2018-01-11,SF,"Ojeleye, Semi",-1,"3,500",bos,@ phi, 114-103,1:47,   0pt 1to
2018-01-11,C,"Koufos, Kosta",40.3,"4,400",sac,v lac, 115-121,24:54,   14pt 14rb 1as 2st 1bl 1to 7-8fg
2018-01-11,C,"Embiid, Joel",39.5,"10,200",phi,v bos, 103-114,30:34,   15pt 10rb 5as 2st 1bl 4to 1trey 6-17fg 2-3ft
2018-01-11,C,"Gasol, Pau",36.9,"5,500",sas,@ lal, 81-93,36:44,   9pt 12rb 5as 3bl 3to 1trey 4-14fg
2018-01-11,C,"Horford, Al",35.1,"6,800",bos,@ phi, 114-103,34:53,   13pt 8rb 7as 1bl 1to 1trey 5-10fg 2-2ft
2018-01-11,C,"Valanciunas, Jonas",35.1,"6,200",tor,v cle, 133-99,18:38,   15pt 18rb 1as 3to 6-9fg 3-4ft
2018-01-11,C,"Poeltl, Jakob",33.4,"3,500",tor,v cle, 133-99,25:32,   12pt 12rb 3bl 2to 5-8fg 2-3ft
2018-01-11,C,"Love, Kevin",22.8,"6,700",cle,@ tor, 99-133,23:01,   10pt 9rb 2as 1to 2-8fg 6-7ft
2018-01-11,C,"Stein, Willie",22.4,"7,000",sac,v lac, 115-121,23:09,   12pt 7rb 1bl 1to 6-8fg
2018-01-11,C,"Thompson, Tristan",22.1,"3,900",cle,@ tor, 99-133,22:44,   8pt 8rb 1as 1bl 3-6fg 2-4ft
2018-01-11,C,"Jordan, DeAndre",19.4,"8,800",lac,@ sac, 121-115,10:54,   8pt 7rb 2as 4-4fg
2018-01-11,C,"Reed, Willie",13.6,"3,800",lac,@ sac, 121-115,10:02,   4pt 3rb 1st 1bl 1-2fg 2-2ft
2018-01-11,C,"Lopez, Brook",13.4,"4,400",lal,v sas, 93-81,18:05,   4pt 2rb 3bl 2to 1trey 1-5fg 1-2ft
2018-01-11,C,"Baynes, Aron",13.1,"3,800",bos,@ phi, 114-103,14:37,   6pt 3rb 1as 1st 1to 2-3fg 2-2ft
2018-01-11,C,"Frye, Channing",10.2,"3,500",cle,@ tor, 99-133,10:22,   6pt 1rb 2as 2trey 2-4fg
2018-01-11,C,"Holmes, Richaun",8.8,"4,800",phi,v bos, 103-114,17:26,   2pt 4rb 1st 1to 1-2fg
2018-01-11,C,"Randle, Julius",6.7,"6,700",lal,v sas, 93-81,17:34,   0pt 6rb 1as 2to 0-6fg
2018-01-11,C,"Nogueira, Lucas",3,"3,500",tor,v cle, 133-99,3:50,   0pt 1st
2018-01-11,C,"Lauvergne, Joffrey",0,"3,500",sas,@ lal, 81-93,0,   
2018-01-11,C,"Zubac, Ivica",0,"3,500",lal,v sas, 93-81,0,   
2018-01-11,C,"Cooley, Jack",0,"3,500",sac,v lac, 115-121,0,   
2018-01-11,C,"Papagiannis, Georgios",0,"3,500",sac,v lac, 115-121,0,   
2018-01-11,C,"Bryant, Thomas",0,"3,500",lal,v sas, 93-81,0,   
2018-01-11,C,"Zizic, Ante",0,"3,500",cle,@ tor, 99-133,0,   
2018-01-11,NA,"Costello, Matt",1.4,N/A,sas,@ lal, 81-93,2:34,   0pt 2rb 1to 0-1fg
