Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2018-03-23,PG,"Westbrook, Russell",54.6,"11,400",okc,v mia, 105-99,35:55,   29pt 13rb 8as 1st 5to 2trey 9-15fg 9-10ft
2018-03-23,PG,"Lowry, Kyle",54,"8,300",tor,v bkn, 116-112,37:11,   25pt 10rb 12as 1to 5trey 7-11fg 6-6ft
2018-03-23,SG,"Williams, Louis",53.8,"6,800",lac,@ ind, 104-109,35:47,   27pt 4rb 10as 3st 2to 4trey 10-18fg 3-3ft
2018-03-23,SG,"Jr, Tim",52.9,"5,900",nyk,v min, 104-108,36:19,   39pt 2rb 3as 3st 2to 6trey 14-25fg 5-7ft
2018-03-23,SG,"Russell, D",51.7,"6,800",bkn,@ tor, 112-116,31:04,   18pt 11rb 13as 1st 2to 8-21fg 2-5ft
2018-03-23,SG,"Mitchell, Donovan",51.1,"7,500",uta,@ sas, 120-124,43:55,   35pt 3rb 3as 4st 4to 4trey 14-36fg 3-5ft
2018-03-23,SG,"Barton, Will",46.9,"7,100",den,@ was, 108-100,35:58,   23pt 7rb 3as 1st 3bl 1to 5trey 5-12fg 8-8ft
2018-03-23,SG,"McCollum, CJ",45.4,"7,000",por,v bos, 100-105,36:34,   26pt 7rb 4as 2st 1to 1trey 12-22fg 1-1ft
2018-03-23,PG,"Murray, Jamal",43.7,"7,500",den,@ was, 108-100,36:03,   25pt 6rb 3as 2st 1bl 2to 5trey 8-20fg 4-4ft
2018-03-23,PG,"Rubio, Ricky",43.1,"7,300",uta,@ sas, 120-124,40:25,   20pt 3rb 9as 2st 1bl 3to 3trey 5-10fg 7-7ft
2018-03-23,SG,"Middleton, Khris",41.6,"8,100",mil,@ chi, 118-105,34:34,   16pt 3rb 6as 4st 1bl 2to 2trey 5-14fg 4-4ft
2018-03-23,PG,"Curry, Stephen",40.9,"10,000",gsw,v atl, 106-94,25:22,   29pt 7rb 1as 1bl 1to 3trey 10-18fg 6-6ft
2018-03-23,SG,"Oladipo, Victor",40.2,"8,900",ind,v lac, 109-104,37:01,   18pt 6rb 4as 2st 1bl 3trey 4-16fg 7-8ft
2018-03-23,PG,"Lillard, Damian",39.6,"9,300",por,v bos, 100-105,38:32,   26pt 3rb 8as 2to 4trey 9-22fg 4-4ft
2018-03-23,SG,"Wiggins, Andrew",35.2,"7,000",min,@ nyk, 108-104,37:36,   17pt 11rb 2as 2st 4to 2trey 5-15fg 5-6ft
2018-03-23,PG,"Burke, Trey",33.9,"4,500",nyk,v min, 104-108,31:01,   15pt 2rb 9as 2st 3to 1trey 6-11fg 2-4ft
2018-03-23,PG,"Cook, Quinn",33.6,"5,300",gsw,v atl, 106-94,31:56,   13pt 8rb 6as 1st 1to 1trey 5-11fg 2-2ft
2018-03-23,PG,"Jennings, Brandon",33.3,"3,500",mil,@ chi, 118-105,27:44,   16pt 4rb 5as 1st 1bl 1to 2trey 5-11fg 4-4ft
2018-03-23,PG,"Payne, Cameron",32.8,"5,600",chi,v mil, 105-118,30:34,   17pt 4rb 6as 1st 1to 2trey 6-12fg 3-3ft
2018-03-23,PG,"Mills, Patty",32.4,"4,100",sas,v uta, 124-120,40:32,   25pt 2rb 4as 1to 2trey 8-12fg 7-7ft
2018-03-23,PG,"Dragic, Goran",32.3,"6,500",mia,@ okc, 99-105,30:56,   20pt 4rb 5as 1st 3to 2trey 7-16fg 4-4ft
2018-03-23,SG,"Beal, Bradley",32.3,"7,900",was,v den, 100-108,39:33,   24pt 4rb 5as 4to 6trey 9-18fg
2018-03-23,PG,"Ulis, Tyler",31.9,"3,500",pho,@ cle, 95-120,30:19,   11pt 2rb 9as 2st 1bl 4to 5-12fg 1-1ft
2018-03-23,PG,"Collison, Darren",31.4,"6,000",ind,v lac, 109-104,27:32,   13pt 2rb 10as 1st 2to 1trey 6-9fg
2018-03-23,PG,"VanVleet, Fred",30.7,"5,000",tor,v bkn, 116-112,32:07,   16pt 6rb 1as 1st 1bl 4trey 6-12fg 0-2ft
2018-03-23,SG,"Clarkson, Jordan",29.8,"4,500",cle,v pho, 120-95,25:53,   13pt 4rb 2as 2st 1bl 5-14fg 3-4ft
2018-03-23,PG,"Bledsoe, Eric",29.8,"7,800",mil,@ chi, 118-105,20:16,   13pt 4rb 4as 2bl 1trey 4-8fg 4-4ft
2018-03-23,PG,"Schroder, Dennis",29.1,"7,300",atl,@ gsw, 94-106,28:34,   16pt 3rb 7as 1st 4to 8-17fg 0-2ft
2018-03-23,SG,"Ginobili, Manu",28.5,"3,600",sas,v uta, 124-120,27:05,   18pt 5rb 3as 1trey 6-12fg 5-5ft
2018-03-23,PG,"Rozier, Terry",28,"7,000",bos,@ por, 105-100,33:48,   16pt 5rb 2as 1st 2trey 4-14fg 6-6ft
2018-03-23,SG,"Young, Nick",27.9,"5,000",gsw,v atl, 106-94,25:55,   24pt 2rb 1as 6trey 9-17fg
2018-03-23,SG,"Daniels, Troy",27.7,"3,900",pho,@ cle, 95-120,33:28,   20pt 6rb 1as 1to 6trey 7-16fg
2018-03-23,PG,"Larkin, Shane",26.3,"3,600",bos,@ por, 105-100,34:00,   9pt 4rb 7as 1st 1to 1trey 3-7fg 2-2ft
2018-03-23,PG,"Ntilikina, Frank",25.5,"3,500",nyk,v min, 104-108,37:15,   13pt 5rb 3as 1st 1to 2trey 5-12fg 1-1ft
2018-03-23,PG,"Rivers, Austin",25,"6,100",lac,@ ind, 104-109,37:35,   10pt 8as 1st 1trey 3-12fg 3-4ft
2018-03-23,SG,"DeRozan, DeMar",24.9,"8,000",tor,v bkn, 116-112,33:06,   21pt 2rb 3as 3to 8-21fg 5-9ft
2018-03-23,SG,"LeVert, Caris",24.9,"6,000",bkn,@ tor, 112-116,28:31,   9pt 2rb 3as 3st 1trey 4-12fg
2018-03-23,PG,"Hill, George",24,"4,700",cle,v pho, 120-95,26:14,   7pt 5rb 2as 1st 2bl 1to 1trey 3-5fg
2018-03-23,SG,"Lee, Damion",23.1,"3,700",atl,@ gsw, 94-106,30:54,   10pt 8rb 1as 1st 1to 2trey 4-10fg
2018-03-23,SG,"Ellington, Wayne",21.8,"4,500",mia,@ okc, 99-105,26:26,   14pt 4rb 2as 4trey 4-8fg 2-2ft
2018-03-23,PG,"Murray, Dejounte",21.5,"5,900",sas,v uta, 124-120,34:48,   4pt 5rb 5as 2st 2to 2-7fg
2018-03-23,PG,"Joseph, Cory",20.8,"4,400",ind,v lac, 109-104,26:24,   5pt 4rb 6as 1st 1to 1trey 2-9fg
2018-03-23,SG,"Smith, JR",19.6,"3,600",cle,v pho, 120-95,27:19,   11pt 3rb 2as 1st 1to 3trey 3-7fg 2-2ft
2018-03-23,PG,"Teague, Jeff",19,"7,400",min,@ nyk, 108-104,33:35,   10pt 8as 3to 3-13fg 4-4ft
2018-03-23,PG,"Satoransky, Tomas",18.8,"6,200",was,v den, 100-108,26:21,   7pt 4rb 6as 2to 1trey 3-6fg
2018-03-23,SG,"Holiday, Justin",18.8,"3,500",chi,v mil, 105-118,22:00,   11pt 4rb 2as 1trey 4-12fg 2-2ft
2018-03-23,SG,"Snell, Tony",18,"3,500",mil,@ chi, 118-105,21:30,   18pt 4trey 6-6fg 2-2ft
2018-03-23,SG,"Crawford, Jamal",16.7,"4,000",min,@ nyk, 108-104,25:11,   13pt 1rb 3as 2to 3trey 5-14fg
2018-03-23,PG,"Johnson, Tyler",16.7,"4,700",mia,@ okc, 99-105,19:42,   8pt 6rb 1as 2trey 3-6fg
2018-03-23,PG,"Livingston, Shaun",16.4,"3,700",gsw,v atl, 106-94,16:53,   4pt 2rb 2as 2st 1bl 2to 2-5fg
2018-03-23,SG,"Harris, Devin",16.2,"4,300",den,@ was, 108-100,28:22,   10pt 1rb 4as 1to 2trey 4-10fg
2018-03-23,SG,"Green, Danny",15.8,"4,900",sas,v uta, 124-120,24:39,   5pt 4rb 2bl 1trey 2-4fg
2018-03-23,PG,"Felton, Raymond",15.7,"3,500",okc,v mia, 105-99,14:16,   10pt 1rb 1as 1st 1trey 4-9fg 1-1ft
2018-03-23,PG,"Dorsey, Tyler",15,"3,600",atl,@ gsw, 94-106,24:40,   13pt 2as 1to 3trey 5-11fg 0-2ft
2018-03-23,PG,"Jones, Tyus",14.8,"3,500",min,@ nyk, 108-104,14:25,   5pt 4rb 4as 1to 5-5ft
2018-03-23,PG,"Dinwiddie, Spencer",14.4,"5,800",bkn,@ tor, 112-116,24:07,   5pt 2rb 4as 1st 2to 1-3fg 3-8ft
2018-03-23,SG,"Terry, Jason",14.4,"3,500",mil,@ chi, 118-105,29:47,   10pt 2rb 2as 1to 3trey 3-4fg 1-1ft
2018-03-23,PG,"Teodosic, Milos",14.1,"4,000",lac,@ ind, 104-109,30:36,   10pt 3rb 3as 4to 2trey 4-9fg
2018-03-23,SG,"Hood, Rodney",14.1,"4,700",cle,v pho, 120-95,20:29,   9pt 3rb 1as 4-8fg 1-2ft
2018-03-23,PG,"Sessions, Ramon",13.4,"3,600",was,v den, 100-108,16:19,   5pt 2rb 4as 2-4fg 1-2ft
2018-03-23,PG,"Grant, Jerian",13.2,"4,700",chi,v mil, 105-118,22:02,   9pt 1rb 4as 3to 1trey 3-6fg 2-2ft
2018-03-23,SG,"Wade, Dwyane",12.2,"5,000",mia,@ okc, 99-105,19:59,   7pt 1rb 2as 1st 2to 3-9fg 1-2ft
2018-03-23,PG,"Calderon, Jose",10.9,"3,800",cle,v pho, 120-95,18:59,   4pt 2rb 3as 1st 3to 2-3fg
2018-03-23,PG,"Exum, Dante",10.4,"3,500",uta,@ sas, 120-124,10:07,   4pt 2rb 4as 2to 2-2fg
2018-03-23,PG,"Wright, Delon",8.7,"4,600",tor,v bkn, 116-112,21:27,   4pt 1rb 3as 1to 1trey 1-5fg 1-2ft
2018-03-23,SG,"Abrines, Alex",7.5,"3,500",okc,v mia, 105-99,10:50,   6pt 1as 2trey 2-3fg
2018-03-23,SG,"McCaw, Patrick",7,"3,500",gsw,v atl, 106-94,21:35,   5pt 2as 1to 1trey 2-10fg
2018-03-23,PG,"Payton, Elfrid",6.4,"5,200",pho,@ cle, 95-120,22:01,   4pt 2rb 2as 3to 2-9fg
2018-03-23,SG,"Nader, Abdel",6.2,"3,500",bos,@ por, 105-100,6:47,   2pt 1rb 1st 1-3fg
2018-03-23,SG,"Harrison, Shaquille",6,"3,500",pho,@ cle, 95-120,7:49,   6pt 3-3fg
2018-03-23,PG,"Thornwell, Sindarius",5.8,"3,500",lac,@ ind, 104-109,16:43,   2pt 4rb 1to 1-3fg 0-2ft
2018-03-23,SG,"Ferguson, Terrance",5.7,"3,500",okc,v mia, 105-99,16:57,   3pt 1rb 1as 1trey 1-2fg
2018-03-23,SG,"Connaughton, Pat",4.6,"3,500",por,v bos, 100-105,22:48,   3pt 3rb 2to 1-8fg 1-2ft
2018-03-23,SG,"Lee, Courtney",4.2,"3,500",nyk,v min, 104-108,14:04,   3pt 1rb 1trey 1-5fg
2018-03-23,PG,"Parker, Tony",4.2,"3,500",sas,v uta, 124-120,13:21,   0pt 1rb 2as 0-2fg
2018-03-23,PG,"Arcidiacono, Ryan",3.9,"3,500",chi,v mil, 105-118,10:20,   0pt 2rb 1as 0-2fg
2018-03-23,SG,"Brown, Sterling",3.2,"3,500",mil,@ chi, 118-105,7:44,   2pt 1rb 1-5fg
2018-03-23,PG,"Perrantes, London",2.2,"3,500",cle,v pho, 120-95,3:10,   1pt 1rb 0-1fg 1-3ft
2018-03-23,PG,"Evans, Jawun",1.5,"3,500",lac,@ ind, 104-109,2:20,   0pt 1as
2018-03-23,SG,"Powell, Norman",1.5,"3,500",tor,v bkn, 116-112,5:27,   0pt 1as 0-2fg
2018-03-23,PG,"Mudiay, Emmanuel",1.5,"4,700",nyk,v min, 104-108,4:54,   0pt 1as 0-1fg
2018-03-23,SG,"Reed, Davon",1.2,"3,500",pho,@ cle, 95-120,10:21,   0pt 1rb 0-3fg
2018-03-23,SG,"Forbes, Bryn",1.2,"3,500",sas,v uta, 124-120,13:42,   0pt 1rb 0-1fg
2018-03-23,SG,"Meeks, Jodie",1.2,"3,500",was,v den, 100-108,9:57,   0pt 1rb 0-1fg
2018-03-23,PG,"Brooks, Aaron",0,"3,500",min,@ nyk, 108-104,0,   
2018-03-23,PG,"Frazier, Tim",0,"3,500",was,v den, 100-108,0,   
2018-03-23,PG,"Brown, Lorenzo",0,"3,500",tor,v bkn, 116-112,0,   
2018-03-23,PG,"Jack, Jarrett",0,"3,500",nyk,v min, 104-108,0,   
2018-03-23,SG,"Bird, Jabari",0,"3,500",bos,@ por, 105-100,0,   
2018-03-23,SG,"Booker, Devin",0,"7,300",pho,@ cle, 95-120,0,   
2018-03-23,PG,"Allen, Kadeem",0,"3,500",bos,@ por, 105-100,0,   
2018-03-23,SG,"Burks, Alec",0,"3,500",uta,@ sas, 120-124,0,   
2018-03-23,SG,"Stauskas, Nik",0,"3,500",bkn,@ tor, 112-116,0,   
2018-03-23,SG,"Kilpatrick, Sean",0,"3,500",lac,@ ind, 104-109,0,   
2018-03-23,PG,"Rose, Derrick",0,"3,500",min,@ nyk, 108-104,0,   
2018-03-23,PG,"Magette, Josh",0,"3,500",atl,@ gsw, 94-106,0,   
2018-03-23,SG,"Paul, Brandon",0,"3,500",sas,v uta, 124-120,0,   
2018-03-23,SG,"Beasley, Malik",0,"3,500",den,@ was, 108-100,0,   
2018-03-23,PG,"Stockton, David",0,"3,500",uta,@ sas, 120-124,0,   
2018-03-23,PG,"Napier, Shabazz",0,"3,500",por,v bos, 100-105,0,   
2018-03-23,PG,"Young, Joseph",0,"3,500",ind,v lac, 109-104,0,   
2018-03-23,PG,"Irving, Kyrie",0,"7,800",bos,@ por, 105-100,0,   
2018-03-23,PG,"Baldwin, Wade",0,"3,500",por,v bos, 100-105,0,   
2018-03-23,PG,"Blakeney, Antonio",0,"3,900",chi,v mil, 105-118,0,   
2018-03-23,PG,"White, Derrick",0,"3,700",sas,v uta, 124-120,0,   
2018-03-23,PG,"Jr, Derrick",0,"3,500",mia,@ okc, 99-105,0,   
2018-03-23,SG,"Richardson, Malachi",0,"3,500",tor,v bkn, 116-112,0,   
2018-03-23,SG,"Cleveland, Antonius",0,"3,500",atl,@ gsw, 94-106,0,   
2018-03-23,SG,"Wallace, Tyrone",0,"4,500",lac,@ ind, 104-109,0,   
2018-03-23,SG,"Dotson, Damyean",0,"3,500",nyk,v min, 104-108,0,   
2018-03-23,PG,"Wall, John",0,"3,500",was,v den, 100-108,0,   
2018-03-23,SG,"Brogdon, Malcolm",0,"5,100",mil,@ chi, 118-105,0,   
2018-03-23,SG,"LaVine, Zach",0,"5,900",chi,v mil, 105-118,0,   
2018-03-23,SG,"Korver, Kyle",0,"4,300",cle,v pho, 120-95,0,   
2018-03-23,PG,"Sumner, Edmond",0,"3,500",ind,v lac, 109-104,0,   
2018-03-23,SG,"Hilliard, Darrun",0,"3,500",sas,v uta, 124-120,0,   
2018-03-23,SG,"Morris, Jaylen",0,"3,500",atl,@ gsw, 94-106,0,   
2018-03-23,SG,"Dozier, PJ",0,"3,500",okc,v mia, 105-99,0,   
2018-03-23,SG,"Wilcox, CJ",0,"3,500",por,v bos, 100-105,0,   
2018-03-23,SG,"Thompson, Klay",0,"6,700",gsw,v atl, 106-94,0,   
2018-03-23,PG,"Neto, Raul",0,"3,500",uta,@ sas, 120-124,0,   
2018-03-23,SG,"House, Danuel",0,"3,500",pho,@ cle, 95-120,0,   
2018-03-23,PG,"Dunn, Kris",0,"6,400",chi,v mil, 105-118,0,   
2018-03-23,SG,"Munford, Xavier",0,"3,500",mil,@ chi, 118-105,0,   
2018-03-23,SG,"Smart, Marcus",0,"5,000",bos,@ por, 105-100,0,   
2018-03-23,PG,"Delaney, Malcolm",0,"3,500",atl,@ gsw, 94-106,0,   
2018-03-23,SG,"Brown, Jaylen",0,"5,200",bos,@ por, 105-100,0,   
2018-03-23,PG,"Doyle, Milton",0,"3,500",bkn,@ tor, 112-116,0,   
2018-03-23,PG,"Morris, Monte",0,"3,500",den,@ was, 108-100,0,   
2018-03-23,PG,"Dellavedova, Matthew",0,"3,700",mil,@ chi, 118-105,0,   
2018-03-23,SG,"Harris, Gary",0,"6,600",den,@ was, 108-100,0,   
2018-03-23,SG,"Williams, CJ",0,"3,500",lac,@ ind, 104-109,0,   
2018-03-23,PG,"Whitehead, Isaiah",0,"3,500",bkn,@ tor, 112-116,0,   
2018-03-23,PF,"Aldridge, LaMarcus",66.8,"9,300",sas,v uta, 124-120,41:05,   45pt 9rb 2as 1st 3bl 4to 1trey 19-28fg 6-8ft
2018-03-23,SF,"James, LeBron",49.7,"13,100",cle,v pho, 120-95,29:16,   27pt 6rb 9as 1st 1bl 4to 1trey 11-16fg 4-6ft
2018-03-23,PF,"Aminu, Al",46.5,"6,500",por,v bos, 100-105,32:22,   16pt 10rb 1as 5st 1bl 1to 2trey 7-12fg
2018-03-23,PF,"Chriss, Marquese",43.5,"3,700",pho,@ cle, 95-120,35:19,   19pt 10rb 3as 1st 2bl 1to 1trey 7-11fg 4-6ft
2018-03-23,SF,"Muhammad, Shabazz",40.5,"3,700",mil,@ chi, 118-105,20:21,   21pt 5rb 3as 2st 1bl 2trey 9-12fg 1-1ft
2018-03-23,PF,"Morris, Markieff",40.1,"5,900",was,v den, 100-108,36:22,   17pt 8rb 5as 2st 1bl 3to 1trey 6-15fg 4-4ft
2018-03-23,SF,"Prince, Taurean",38.8,"7,500",atl,@ gsw, 94-106,31:59,   20pt 4rb 2as 2st 2bl 1to 4trey 6-18fg 4-6ft
2018-03-23,PF,"Love, Kevin",38.2,"7,500",cle,v pho, 120-95,29:58,   20pt 6rb 2as 3st 1to 2trey 7-15fg 4-4ft
2018-03-23,PF,"Favors, Derrick",38.1,"5,300",uta,@ sas, 120-124,34:14,   22pt 8rb 1as 2bl 1to 1trey 8-10fg 5-7ft
2018-03-23,SF,"Bogdanovic, Bojan",37.5,"4,500",ind,v lac, 109-104,33:05,   28pt 5rb 3as 1to 3trey 12-18fg 1-1ft
2018-03-23,SF,"Bjelica, Nemanja",35.2,"5,800",min,@ nyk, 108-104,37:35,   17pt 6rb 2as 2st 1bl 1to 3trey 6-8fg 2-4ft
2018-03-23,SF,"Valentine, Denzel",34.5,"6,000",chi,v mil, 105-118,32:24,   20pt 5rb 3as 2st 1bl 5to 4trey 7-13fg 2-2ft
2018-03-23,SF,"Jackson, Josh",32,"7,100",pho,@ cle, 95-120,27:44,   17pt 5rb 4as 2st 3to 8-20fg 1-2ft
2018-03-23,PF,"Morris, Marcus",31.4,"5,700",bos,@ por, 105-100,34:46,   30pt 2rb 1to 5trey 9-13fg 7-7ft
2018-03-23,PF,"Bell, Jordan",31.4,"4,100",gsw,v atl, 106-94,27:30,   12pt 7rb 4as 1st 1bl 1to 5-8fg 2-3ft
2018-03-23,PF,"Gibson, Taj",30.9,"5,400",min,@ nyk, 108-104,38:32,   18pt 7rb 1as 1st 5-8fg 8-8ft
2018-03-23,SF,"Anderson, Kyle",29.9,"5,100",sas,v uta, 124-120,25:28,   5pt 7rb 3as 4st 1bl 3to 1trey 2-5fg
2018-03-23,PF,"Henson, John",29.9,"5,100",mil,@ chi, 118-105,28:29,   11pt 12rb 1as 1bl 1trey 5-10fg
2018-03-23,SF,"Tatum, Jayson",29.2,"6,600",bos,@ por, 105-100,31:57,   13pt 6rb 4as 2st 3to 4-11fg 5-6ft
2018-03-23,SF,"Oubre, Kelly",29,"5,400",was,v den, 100-108,27:18,   15pt 5rb 2as 1st 1bl 1to 3trey 5-11fg 2-4ft
2018-03-23,PF,"Nance, Larry",29,"6,500",cle,v pho, 120-95,22:25,   15pt 10rb 2as 1to 6-11fg 3-3ft
2018-03-23,PF,"Johnson, James",27.8,"6,000",mia,@ okc, 99-105,28:46,   23pt 4rb 2as 3to 2trey 7-13fg 7-7ft
