Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2018-02-18,PG,"Irving, Kyrie",36.9,"12,500",,@ , 148-,27:36,   13pt 7rb 9as 1st 1to 1trey 6-16fg
2018-02-18,PG,"Lowry, Kyle",36.9,"8,500",,v , 148-,21:26,   4pt 7rb 11as 3st 1to 2-11fg
2018-02-18,SG,"Harden, James",35.4,"13,500",,v , 148-,27:04,   12pt 7rb 8as 1st 1bl 3to 2trey 5-19fg
2018-02-18,SG,"DeRozan, DeMar",35.2,"12,000",,v , 148-,26:46,   21pt 6rb 2as 2st 2to 1trey 7-13fg 6-7ft
2018-02-18,PG,"Westbrook, Russell",30.6,"14,500",,@ , 148-,28:28,   11pt 8rb 8as 2to 1trey 4-11fg 2-3ft
2018-02-18,PG,"Lillard, Damian",26.6,"9,000",,v , 148-,20:56,   21pt 3rb 2as 1to 3trey 9-14fg
2018-02-18,SG,"Oladipo, Victor",22.9,"10,000",,@ , 148-,15:00,   7pt 2rb 3as 3st 1trey 3-8fg
2018-02-18,PG,"Curry, Stephen",22.7,"13,000",,v , 148-,26:34,   11pt 6rb 5as 1st 6to 3trey 4-14fg
2018-02-18,SG,"Thompson, Klay",18.8,"8,000",,v , 148-,21:24,   15pt 4rb 1to 5trey 5-11fg
2018-02-18,SG,"Beal, Bradley",16,"9,000",,@ , 148-,16:51,   14pt 1st 1to 4trey 5-10fg
2018-02-18,PG,"Walker, Kemba",14.9,"8,500",,@ , 148-,14:09,   11pt 2rb 1as 1trey 5-10fg
2018-02-18,PG,"Dragic, Goran",7.3,"8,000",,@ , 148-,11:28,   2pt 4rb 1as 1to 1-3fg
2018-02-18,SF,"James, LeBron",51,"15,000",,@ , 148-,31:17,   29pt 10rb 8as 1st 5to 4trey 12-17fg 1-1ft
2018-02-18,SF,"Durant, Kevin",43.7,"14,000",,@ , 148-,29:57,   19pt 6rb 5as 3st 1bl 2to 3trey 7-13fg 2-2ft
2018-02-18,SF,"George, Paul",31,"11,500",,@ , 148-,26:30,   16pt 5rb 4as 1st 4trey 6-15fg
2018-02-18,SF,"Antetokounmpo, Giannis",25.4,"14,000",,v , 148-,26:35,   16pt 7rb 2as 2to 6-14fg 4-6ft
2018-02-18,PF,"Green, Draymond",21,"8,600",,v , 148-,18:15,   3pt 5rb 2as 1st 2bl 3-4ft
2018-02-18,PF,"Aldridge, LaMarcus",3,"9,500",,@ , 148-,4:28,   0pt 1bl 0-1fg
2018-02-18,SF,"Butler, Jimmy",0,"10,000",,v , 148-,0,   
2018-02-18,C,"Embiid, Joel",39.1,"12,500",,v , 148-,20:04,   19pt 8rb 1as 1st 2bl 2trey 8-13fg 1-1ft
2018-02-18,C,"Towns, Karl",28,"9,500",,v , 148-,18:11,   17pt 10rb 1to 1trey 7-11fg 2-2ft
2018-02-18,C,"Drummond, Andre",19.6,"11,000",,@ , 148-,17:36,   14pt 3rb 1bl 1to 7-7fg
2018-02-18,C,"Horford, Al",18,"8,000",,v , 148-,12:45,   6pt 5rb 2as 1st 2-4fg 2-2ft
2018-02-18,C,"Davis, Anthony",14.9,"13,500",,@ , 148-,16:40,   12pt 2rb 1as 1to 6-9fg
