Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2017-10-25,PG,"Westbrook, Russell",66,"10,800",okc,v ind, 114-96,35:09,   28pt 10rb 16as 3st 7to 2trey 10-18fg 6-10ft
2017-10-25,SG,"Harden, James",54.1,"11,600",hou,@ phi, 105-104,41:26,   27pt 3rb 13as 1st 3bl 8to 2trey 10-20fg 5-5ft
2017-10-25,PG,"Curry, Stephen",52.3,"9,400",gsw,v tor, 117-112,37:31,   30pt 4rb 5as 3st 1bl 2to 4trey 9-20fg 8-8ft
2017-10-25,SG,"DeRozan, DeMar",51.6,"8,300",tor,@ gsw, 112-117,37:55,   24pt 3rb 6as 6st 3to 9-18fg 6-7ft
2017-10-25,SG,"Oladipo, Victor",47,"7,800",ind,@ okc, 96-114,35:50,   35pt 5rb 1st 2bl 3to 5trey 11-18fg 8-8ft
2017-10-25,SG,"Beal, Bradley",46.2,"8,000",was,@ lal, 99-102,43:31,   28pt 6rb 2as 3st 1bl 4to 2trey 11-23fg 4-6ft
2017-10-25,PG,"Rubio, Ricky",44.3,"7,600",uta,@ pho, 88-97,34:10,   15pt 4rb 11as 4st 1bl 7to 1trey 6-15fg 2-2ft
2017-10-25,PG,"McConnell, TJ",41.5,"3,100",phi,v hou, 104-105,28:15,   6pt 5rb 9as 6st 2to 3-8fg
2017-10-25,SG,"Thompson, Klay",41.1,"7,100",gsw,v tor, 117-112,38:26,   22pt 8rb 5as 1st 1bl 4to 4trey 9-15fg
2017-10-25,SG,"Gordon, Eric",40.3,"6,700",hou,@ phi, 105-104,39:54,   29pt 4rb 5as 1to 5trey 7-20fg 10-12ft
2017-10-25,PG,"Lowry, Kyle",39.3,"7,100",tor,@ gsw, 112-117,38:16,   14pt 4rb 9as 1st 2bl 2to 1trey 5-18fg 3-3ft
2017-10-25,PG,"Dinwiddie, Spencer",38,"4,400",bkn,v cle, 112-107,31:45,   22pt 5rb 6as 1st 2to 4trey 7-13fg 4-4ft
2017-10-25,PG,"Ball, Lonzo",35.6,"7,400",lal,v was, 102-99,39:38,   6pt 8rb 10as 1st 1bl 1to 2-11fg 2-3ft
2017-10-25,PG,"Conley, Mike",34.5,"7,500",mem,@ dal, 94-103,35:19,   21pt 5rb 3as 1st 3trey 7-15fg 4-6ft
