Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2017-12-29,PG,"Westbrook, Russell",68.3,"11,500",okc,v mil, 95-97,40:02,   40pt 14rb 9as 1st 5to 2trey 16-34fg 6-9ft
2017-12-29,PG,"Collison, Darren",44.1,"6,300",ind,@ chi, 107-119,39:27,   30pt 3rb 5as 2st 3to 4trey 12-16fg 2-2ft
2017-12-29,PG,"Jr, Dennis",44,"4,700",dal,@ nor, 128-120,31:22,   21pt 10rb 10as 1st 7to 5trey 8-12fg
2017-12-29,PG,"Walker, Kemba",43.5,"7,500",cha,@ gsw, 111-100,35:15,   16pt 5rb 5as 3st 2bl 1to 3trey 5-16fg 3-4ft
2017-12-29,PG,"Grant, Jerian",38.4,"3,900",chi,v ind, 119-107,33:00,   11pt 7rb 12as 1st 2to 3trey 4-9fg
2017-12-29,SG,"DeRozan, DeMar",37.7,"8,500",tor,v atl, 111-98,33:54,   25pt 1rb 5as 2bl 2to 2trey 10-18fg 3-3ft
2017-12-29,SG,"Middleton, Khris",36.7,"7,300",mil,@ okc, 97-95,39:03,   20pt 6rb 3as 1st 1bl 1to 3trey 8-18fg 1-2ft
2017-12-29,PG,"Schroder, Dennis",36.5,"7,700",atl,@ tor, 98-111,35:06,   14pt 5rb 9as 2st 3to 6-20fg 2-2ft
2017-12-29,PG,"Wall, John",36.4,"8,600",was,v hou, 121-103,31:22,   17pt 2rb 4as 5st 4to 2trey 7-10fg 1-2ft
2017-12-29,SG,"Booker, Devin",36.1,"7,800",pho,@ sac, 111-101,31:51,   26pt 3rb 3as 1st 1to 3trey 9-25fg 5-7ft
2017-12-29,PG,"Clarkson, Jordan",36,"7,000",lal,v lac, 106-121,35:05,   20pt 5rb 8as 2to 2trey 9-16fg
2017-12-29,SG,"LeVert, Caris",35.5,"5,800",bkn,@ mia, 111-87,23:01,   12pt 5rb 11as 1st 2to 4-10fg 4-4ft
2017-12-29,PG,"Wright, Delon",33.4,"3,900",tor,v atl, 111-98,29:06,   13pt 7rb 2as 2st 1bl 1trey 6-10fg
2017-12-29,SG,"Holiday, Jrue",31.9,"7,700",nor,v dal, 120-128,39:19,   23pt 2rb 3as 1bl 1to 3trey 7-12fg 6-7ft
2017-12-29,PG,"Barea, Jose",31.9,"5,200",dal,@ nor, 128-120,23:53,   14pt 2rb 9as 1st 1bl 4to 3trey 5-10fg 1-2ft
2017-12-29,SG,"Matthews, Wes",31.8,"4,600",dal,@ nor, 128-120,29:40,   18pt 4rb 2as 2st 4trey 7-11fg
2017-12-29,SG,"Williams, Louis",30.6,"7,100",lac,@ lal, 121-106,30:32,   23pt 3rb 4as 2to 2trey 4-14fg 13-15ft
2017-12-29,SG,"Holiday, Justin",30.4,"5,200",chi,v ind, 119-107,36:09,   11pt 2rb 4as 1st 3bl 1to 1trey 3-8fg 4-4ft
2017-12-29,PG,"Rondo, Rajon",29.4,"5,800",nor,v dal, 120-128,19:41,   6pt 2rb 8as 3st 3-9fg
2017-12-29,PG,"Dinwiddie, Spencer",29.4,"6,300",bkn,@ mia, 111-87,29:08,   11pt 2rb 6as 2st 1bl 2to 1trey 4-11fg 2-2ft
2017-12-29,SG,"Batum, Nicolas",28.8,"5,600",cha,@ gsw, 111-100,31:33,   15pt 4rb 6as 1st 3to 2trey 6-10fg 1-2ft
2017-12-29,SG,"Lamb, Jeremy",28.7,"4,900",cha,@ gsw, 111-100,22:14,   11pt 6rb 1as 1st 2bl 4-13fg 3-4ft
2017-12-29,SG,"Thompson, Klay",28.6,"7,300",gsw,v cha, 100-111,36:11,   24pt 3rb 2as 2to 3trey 10-20fg 1-2ft
