Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2018-11-03,PG,"Young, Trae",51.7,"7,200",atl,v mia, 123-118,31:26,   24pt 6rb 15as 1bl 5to 2trey 9-19fg 4-5ft
2018-11-03,PG,"Lillard, Damian",49.8,"9,700",por,v lal, 110-114,35:48,   30pt 4rb 4as 3st 2trey 10-23fg 8-8ft
2018-11-03,SG,"Oladipo, Victor",46.9,"8,900",ind,v bos, 102-101,36:30,   24pt 12rb 3as 3st 5to 4trey 6-18fg 8-8ft
2018-11-03,PG,"Rondo, Rajon",43,"5,600",lal,@ por, 114-110,25:50,   17pt 10rb 6as 3st 4to 1trey 8-10fg
2018-11-03,SG,"Holiday, Jrue",42.8,"8,500",nor,@ sas, 95-109,39:06,   29pt 4rb 8as 3to 13-21fg 3-4ft
2018-11-03,SG,"Harden, James",40.7,"11,700",hou,@ chi, 96-88,33:16,   25pt 1rb 7as 4st 8to 5trey 7-17fg 6-8ft
2018-11-03,SG,"Mitchell, Donovan",40,"8,200",uta,@ den, 88-103,32:25,   16pt 5rb 2as 5st 7-22fg 2-2ft
2018-11-03,SG,"McCollum, CJ",39,"6,800",por,v lal, 110-114,35:48,   30pt 5rb 4as 3to 2trey 13-24fg 2-2ft
2018-11-03,PG,"Mills, Patty",37.1,"3,700",sas,v nor, 109-95,28:37,   15pt 8rb 7as 1bl 1to 4trey 4-7fg 3-5ft
2018-11-03,PG,"Paul, Chris",34.2,"9,000",hou,@ chi, 96-88,35:22,   7pt 6rb 8as 4st 4to 3-11fg 1-3ft
2018-11-03,SG,"DeRozan, DeMar",33.6,"9,900",sas,v nor, 109-95,38:17,   26pt 3rb 4as 2to 11-24fg 4-4ft
2018-11-03,SG,"Lamb, Jeremy",32.6,"5,300",cha,v cle, 126-94,24:09,   19pt 8rb 2as 1st 2to 8-15fg 3-3ft
2018-11-03,SG,"LaVine, Zach",31.8,"8,400",chi,v hou, 88-96,38:06,   21pt 4rb 4as 1st 3to 1trey 4-16fg 12-13ft
2018-11-03,PG,"Rubio, Ricky",30.8,"6,200",uta,@ den, 88-103,32:37,   11pt 4rb 6as 4st 6to 1trey 3-10fg 4-4ft
2018-11-03,SG,"Smith, JR",30.2,"3,500",cle,@ cha, 94-126,24:19,   14pt 1rb 4as 3st 4trey 4-8fg 2-2ft
2018-11-03,PG,"Irving, Kyrie",29.7,"7,800",bos,@ ind, 101-102,27:23,   18pt 6rb 3as 1bl 3to 4trey 6-12fg 2-2ft
2018-11-03,SG,"McGruder, Rodney",29.3,"5,700",mia,@ atl, 118-123,34:19,   18pt 4rb 5as 1to 2trey 7-15fg 2-2ft
2018-11-03,PG,"Murray, Jamal",29,"7,200",den,v uta, 103-88,35:13,   19pt 5rb 4as 2to 1trey 7-16fg 4-4ft
2018-11-03,SG,"Wade, Dwyane",27.3,"4,700",mia,@ atl, 118-123,26:26,   19pt 4rb 3as 1st 4to 2trey 7-13fg 3-6ft
2018-11-03,PG,"Walker, Kemba",27,"9,300",cha,v cle, 126-94,29:56,   18pt 5rb 4as 3to 4trey 6-12fg 2-2ft
2018-11-03,PG,"Johnson, Tyler",25.8,"4,200",mia,@ atl, 118-123,24:16,   17pt 4rb 4as 2to 2trey 6-11fg 3-4ft
