Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2018-03-19,PG,"Walker, Kemba",51.6,"7,800",cha,@ phi, 94-108,39:56,   24pt 8rb 6as 3st 1bl 3to 1trey 8-19fg 7-7ft
2018-03-19,SG,"Barton, Will",49.3,"6,600",den,@ mia, 141-149,45:54,   22pt 4rb 3as 4st 2bl 3trey 8-21fg 3-3ft
2018-03-19,SG,"Middleton, Khris",45,"7,400",mil,@ cle, 117-124,37:41,   30pt 5rb 2as 2st 1bl 3to 5trey 11-16fg 3-3ft
2018-03-19,SG,"Russell, D",39.5,"6,900",bkn,v mem, 118-115,29:07,   14pt 5rb 7as 2st 2bl 3to 1trey 5-17fg 3-3ft
2018-03-19,PG,"Dragic, Goran",38,"6,700",mia,v den, 149-141,42:04,   20pt 5rb 8as 1st 3to 1trey 6-15fg 7-8ft
2018-03-19,PG,"Collison, Darren",37.8,"5,700",ind,v lal, 110-100,32:46,   15pt 4rb 8as 1st 1bl 2trey 5-10fg 3-3ft
2018-03-19,PG,"Bledsoe, Eric",35.6,"8,000",mil,@ cle, 117-124,34:30,   13pt 3rb 8as 2st 2bl 5to 1trey 5-15fg 2-3ft
2018-03-19,PG,"Murray, Jamal",35.5,"7,000",den,@ mia, 141-149,43:00,   23pt 5rb 5as 1to 4trey 5-16fg 9-11ft
2018-03-19,PG,"Harrison, Andrew",35.2,"5,600",mem,@ bkn, 115-118,30:46,   19pt 1rb 8as 1bl 1trey 7-16fg 4-8ft
2018-03-19,SG,"Hield, Buddy",35.2,"6,400",sac,v det, 90-106,32:44,   20pt 6rb 4as 2st 4to 3trey 8-15fg 1-1ft
2018-03-19,PG,"Smith, Ishmael",33.8,"5,000",det,@ sac, 106-90,34:08,   18pt 4rb 2as 2st 1bl 1to 2trey 7-10fg 2-2ft
2018-03-19,SG,"Oladipo, Victor",31.8,"9,100",ind,v lal, 110-100,32:11,   20pt 4rb 3st 2to 1trey 8-15fg 3-4ft
2018-03-19,SG,"Jr, Tim",29.9,"6,300",nyk,v chi, 110-92,31:13,   22pt 2rb 1as 2st 2to 4trey 7-15fg 4-4ft
2018-03-19,PG,"Cook, Quinn",29.5,"5,200",gsw,@ sas, 75-89,37:39,   20pt 5rb 5as 4to 2trey 8-18fg 2-4ft
2018-03-19,SG,"Ellington, Wayne",28.6,"4,000",mia,v den, 149-141,40:25,   23pt 3rb 2as 1to 6trey 8-14fg 1-2ft
2018-03-19,PG,"Weber, Briante",28.3,"3,600",mem,@ bkn, 115-118,34:13,   15pt 4rb 1as 3st 2to 7-11fg 1-2ft
2018-03-19,PG,"Murray, Dejounte",28.1,"6,400",sas,v gsw, 89-75,29:26,   9pt 8rb 5as 1st 1to 4-9fg 1-2ft
2018-03-19,SG,"LeVert, Caris",27.6,"6,300",bkn,v mem, 118-115,24:24,   22pt 3rb 2as 1bl 4to 4trey 7-9fg 4-6ft
2018-03-19,SG,"Pope, Kentavious",25.9,"6,000",lal,@ ind, 100-110,39:22,   12pt 7rb 1as 1st 1bl 2to 3trey 3-10fg 3-3ft
2018-03-19,SG,"Harris, Devin",25.9,"3,800",den,@ mia, 141-149,26:59,   13pt 2rb 9as 3to 1trey 2-8fg 8-8ft
2018-03-19,SG,"Belinelli, Marco",25.4,"3,700",phi,v cha, 108-94,23:40,   21pt 2rb 2as 1to 5trey 8-14fg
2018-03-19,PG,"Joseph, Cory",25.1,"4,200",ind,v lal, 110-100,29:25,   8pt 3rb 3as 2st 1bl 2-6fg 4-4ft
2018-03-19,PG,"Payne, Cameron",24.2,"4,900",chi,@ nyk, 92-110,28:44,   4pt 6rb 6as 2bl 2to 2-12fg
2018-03-19,SG,"Clarkson, Jordan",23.9,"4,500",cle,v mil, 124-117,28:04,   17pt 2rb 1as 1st 3trey 5-11fg 4-4ft
2018-03-19,PG,"Blakeney, Antonio",23.3,"3,900",chi,@ nyk, 92-110,25:55,   16pt 4rb 1as 1bl 2to 1trey 4-12fg 7-7ft
2018-03-19,PG,"Fox, De",22.6,"5,700",sac,v det, 90-106,31:24,   16pt 3rb 4as 3to 8-11fg 0-3ft
2018-03-19,SG,"Monk, Malik",22.3,"3,800",cha,@ phi, 94-108,16:22,   13pt 4rb 3as 3trey 4-11fg 2-2ft
2018-03-19,PG,"Mills, Patty",21.6,"4,200",sas,v gsw, 89-75,34:11,   12pt 3rb 2as 1st 1bl 3to 3trey 4-12fg 1-1ft
2018-03-19,SG,"Selden, Wayne",21.6,"3,900",mem,@ bkn, 115-118,23:45,   17pt 3rb 2as 2to 3trey 7-15fg 0-1ft
2018-03-19,PG,"Ntilikina, Frank",21.1,"3,900",nyk,v chi, 110-92,24:12,   8pt 3rb 5as 1st 1to 2trey 3-8fg
2018-03-19,PG,"Ball, Lonzo",20.4,"7,500",lal,@ ind, 100-110,37:22,   4pt 2rb 8as 2st 4to 1trey 1-4fg 1-2ft
2018-03-19,PG,"Johnson, Tyler",20.3,"4,900",mia,v den, 149-141,20:50,   8pt 4rb 3as 1bl 2trey 3-9fg
2018-03-19,SG,"Korver, Kyle",19.2,"4,800",cle,v mil, 124-117,27:58,   12pt 6rb 3trey 4-8fg 1-2ft
2018-03-19,PG,"Thomas, Isaiah",18.1,"6,400",lal,@ ind, 100-110,25:28,   11pt 3rb 3as 1to 4-14fg 3-4ft
2018-03-19,PG,"III, Frank",18,"3,900",sac,v det, 90-106,15:40,   7pt 5rb 2as 1st 1to 1trey 3-8fg 0-1ft
2018-03-19,PG,"Burke, Trey",17.9,"5,000",nyk,v chi, 110-92,21:10,   9pt 2rb 5as 1to 4-8fg 1-2ft
2018-03-19,PG,"Dinwiddie, Spencer",17.4,"6,500",bkn,v mem, 118-115,26:22,   9pt 2rb 6as 3to 2-6fg 5-6ft
2018-03-19,SG,"Green, Danny",15.6,"5,000",sas,v gsw, 89-75,30:14,   11pt 3rb 2as 2to 3trey 4-8fg
2018-03-19,SG,"Dotson, Damyean",15.5,"3,500",nyk,v chi, 110-92,8:07,   5pt 5rb 3as 1trey 1-4fg 2-2ft
2018-03-19,PG,"Grant, Jerian",15.5,"4,800",chi,@ nyk, 92-110,19:16,   8pt 1as 2st 2-7fg 4-4ft
2018-03-19,SG,"Redick, JJ",15,"5,000",phi,v cha, 108-94,24:20,   12pt 5rb 3to 2trey 5-12fg
2018-03-19,PG,"Mudiay, Emmanuel",14.9,"5,100",nyk,v chi, 110-92,21:08,   4pt 2rb 3as 1st 1bl 2to 2-8fg
2018-03-19,PG,"Livingston, Shaun",14.2,"3,900",gsw,@ sas, 75-89,16:59,   7pt 1rb 2as 1st 3-7fg 1-1ft
2018-03-19,SG,"McCaw, Patrick",12.7,"3,500",gsw,@ sas, 75-89,24:28,   3pt 1rb 1as 2st 1bl 2to 1-7fg 1-2ft
2018-03-19,SG,"Kennard, Luke",12.2,"3,900",det,@ sac, 106-90,27:13,   10pt 1rb 1st 2to 2trey 4-8fg
2018-03-19,PG,"Jennings, Brandon",12,"3,800",mil,@ cle, 117-124,13:30,   4pt 4as 1bl 1to 2-3fg
2018-03-19,SG,"Ginobili, Manu",11.9,"4,000",sas,v gsw, 89-75,20:14,   3pt 2rb 3as 1st 1to 0-5fg 3-6ft
2018-03-19,SG,"Holiday, Justin",11.7,"3,600",chi,@ nyk, 92-110,17:52,   0pt 1rb 1as 4st 3to 0-6fg
2018-03-19,PG,"Calderon, Jose",11.6,"4,000",cle,v mil, 124-117,18:19,   5pt 3rb 2as 1trey 2-7fg
2018-03-19,SG,"Lee, Courtney",11.2,"3,700",nyk,v chi, 110-92,21:04,   4pt 1rb 2as 1bl 2-7fg
2018-03-19,SG,"Young, Nick",10.4,"5,500",gsw,@ sas, 75-89,40:12,   10pt 2rb 2to 2-10fg 6-6ft
2018-03-19,PG,"Hill, George",10.1,"4,600",cle,v mil, 124-117,20:41,   0pt 3rb 3as 1bl 1to 0-2fg
2018-03-19,SG,"Snell, Tony",9.2,"3,600",mil,@ cle, 117-124,31:14,   5pt 1rb 2as 1trey 2-8fg
2018-03-19,SG,"McLemore, Ben",8.8,"4,100",mem,@ bkn, 115-118,20:25,   5pt 4rb 1st 4to 1trey 2-3fg
2018-03-19,SG,"Smith, JR",8.1,"3,500",cle,v mil, 124-117,22:36,   5pt 3rb 1as 2to 1trey 2-3fg
2018-03-19,PG,"Buycks, Dwight",6.6,"4,000",det,@ sac, 106-90,13:52,   4pt 3rb 1to 2-4fg
2018-03-19,PG,"Parker, Tony",5.2,"3,800",sas,v gsw, 89-75,13:12,   1pt 1rb 2as 0-2fg 1-2ft
2018-03-19,SG,"Temple, Garrett",4.4,"3,600",sac,v det, 90-106,23:01,   2pt 2rb 1-10fg
2018-03-19,PG,"Ennis, Tyler",3.6,"3,500",lal,@ ind, 100-110,9:04,   0pt 3rb 0-1fg
2018-03-19,PG,"McConnell, TJ",3.5,"3,700",phi,v cha, 108-94,14:59,   2pt 1as 1-2fg
2018-03-19,SG,"Graham, Treveon",3.2,"3,500",cha,@ phi, 94-108,6:03,   2pt 1rb 2-2ft
2018-03-19,SG,"Brown, Sterling",1.2,"3,500",mil,@ cle, 117-124,5:42,   0pt 1rb 0-1fg
2018-03-19,SG,"Forbes, Bryn",1,"3,500",sas,v gsw, 89-75,11:46,   2pt 1to 1-1fg
2018-03-19,SG,"Paul, Brandon",0,"3,500",sas,v gsw, 89-75,3:00,   0pt
2018-03-19,SG,"Beasley, Malik",0,"3,500",den,@ mia, 141-149,00:07,   0pt
2018-03-19,SG,"Terry, Jason",0,"3,500",mil,@ cle, 117-124,10:19,   0pt
2018-03-19,SG,"Batum, Nicolas",0,"7,200",cha,@ phi, 94-108,0,   
2018-03-19,PG,"Perrantes, London",0,"3,500",cle,v mil, 124-117,0,   
2018-03-19,SG,"Shumpert, Iman",0,"3,500",sac,v det, 90-106,0,   
2018-03-19,PG,"Jack, Jarrett",0,"3,500",nyk,v chi, 110-92,0,   
2018-03-19,PG,"Payton, Gary",0,"3,500",lal,@ ind, 100-110,0,   
2018-03-19,SG,"Stauskas, Nik",0,"3,500",bkn,v mem, 118-115,0,   
2018-03-19,PG,"Galloway, Langston",0,"3,500",det,@ sac, 106-90,0,   
2018-03-19,PG,"Nelson, Jameer",0,"3,500",det,@ sac, 106-90,0,   
2018-03-19,PG,"Jackson, Demetrius",0,"3,500",phi,v cha, 108-94,0,   
2018-03-19,PG,"Chalmers, Mario",0,"3,500",mem,@ bkn, 115-118,0,   
2018-03-19,PG,"Stone, Julyan",0,"3,500",cha,@ phi, 94-108,0,   
2018-03-19,PG,"Young, Joseph",0,"3,500",ind,v lal, 110-100,0,   
2018-03-19,PG,"Jackson, Reggie",0,"3,500",det,@ sac, 106-90,0,   
2018-03-19,SG,"Korkmaz, Furkan",0,"3,500",phi,v cha, 108-94,0,   
2018-03-19,PG,"White, Derrick",0,"3,700",sas,v gsw, 89-75,0,   
2018-03-19,PG,"Jr, Derrick",0,"3,500",mia,v den, 149-141,0,   
2018-03-19,PG,"Felder, Kay",0,"3,500",det,@ sac, 106-90,0,   
2018-03-19,SG,"Wade, Dwyane",0,"5,100",mia,v den, 149-141,0,   
2018-03-19,PG,"Fultz, Markelle",0,"3,500",phi,v cha, 108-94,0,   
2018-03-19,SG,"Hood, Rodney",0,"4,700",cle,v mil, 124-117,0,   
2018-03-19,SG,"Brogdon, Malcolm",0,"5,100",mil,@ cle, 117-124,0,   
2018-03-19,SG,"LaVine, Zach",0,"5,900",chi,@ nyk, 92-110,0,   
2018-03-19,PG,"Sumner, Edmond",0,"3,500",ind,v lal, 110-100,0,   
2018-03-19,SG,"Luwawu, Timothe",0,"3,500",phi,v cha, 108-94,0,   
2018-03-19,PG,"Paige, Marcus",0,"3,500",cha,@ phi, 94-108,0,   
2018-03-19,PG,"Bayless, Jerryd",0,"3,500",phi,v cha, 108-94,0,   
2018-03-19,SG,"Hearn, Reggie",0,"3,500",det,@ sac, 106-90,0,   
2018-03-19,SG,"Hilliard, Darrun",0,"3,500",sas,v gsw, 89-75,0,   
2018-03-19,PG,"Curry, Stephen",0,"10,000",gsw,@ sas, 75-89,0,   
2018-03-19,SG,"Henry, Myke",0,"3,500",mem,@ bkn, 115-118,0,   
2018-03-19,SG,"Thompson, Klay",0,"6,700",gsw,@ sas, 75-89,0,   
2018-03-19,SG,"Young, James",0,"3,500",phi,v cha, 108-94,0,   
2018-03-19,PG,"Dunn, Kris",0,"6,600",chi,@ nyk, 92-110,0,   
