Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2019-03-01,PG,"Young, Trae",79.6,"8,800",atl,v chi, 161-168,55:50,   49pt 8rb 16as 1st 1bl 9to 6trey 17-33fg 9-11ft
2019-03-01,SG,"LaVine, Zach",69.3,"8,300",chi,@ atl, 168-161,55:34,   47pt 9rb 9as 2st 8to 6trey 17-35fg 7-11ft
2019-03-01,SG,"Beal, Bradley",57.2,"9,900",was,@ bos, 96-107,38:30,   29pt 11rb 6as 2st 1bl 3to 4trey 12-23fg 1-2ft
2019-03-01,PG,"Bledsoe, Eric",51.3,"7,200",mil,@ lal, 131-120,30:53,   31pt 9rb 5as 1bl 1to 2trey 12-24fg 5-5ft
2019-03-01,PG,"Walker, Kemba",49.3,"9,300",cha,@ bkn, 123-112,37:54,   25pt 4rb 7as 4st 3to 1trey 12-20fg
2019-03-01,PG,"Lowry, Kyle",48.4,"7,700",tor,v por, 119-117,40:21,   19pt 7rb 10as 1st 2bl 3to 3trey 7-13fg 2-2ft
2019-03-01,SG,"McCollum, CJ",47.3,"6,900",por,@ tor, 117-119,39:48,   35pt 4rb 5as 1st 3to 7trey 12-20fg 4-4ft
2019-03-01,PG,"Rondo, Rajon",46.1,"5,500",lal,v mil, 120-131,39:54,   20pt 8rb 9as 2st 3to 4trey 7-19fg 2-2ft
2019-03-01,PG,"Lillard, Damian",41.6,"9,400",por,@ tor, 117-119,37:26,   24pt 8rb 6as 1to 3trey 8-17fg 5-6ft
2019-03-01,SG,"Booker, Devin",40.7,"8,600",pho,v nor, 116-130,33:33,   26pt 6rb 7as 1st 6to 1trey 6-17fg 13-14ft
2019-03-01,SG,"Holiday, Jrue",40.5,"9,000",nor,@ pho, 130-116,30:32,   21pt 5rb 9as 2st 6to 3trey 9-14fg 0-1ft
2019-03-01,PG,"Fox, De",38,"8,000",sac,v lac, 109-116,29:01,   12pt 5rb 12as 1st 1to 5-9fg 2-3ft
2019-03-01,PG,"Irving, Kyrie",37.2,"9,900",bos,v was, 107-96,33:30,   13pt 6rb 12as 1to 1trey 6-15fg
2019-03-01,SG,"Hield, Buddy",36.9,"7,300",sac,v lac, 109-116,35:47,   23pt 7rb 3as 1st 2to 3trey 6-19fg 8-8ft
2019-03-01,PG,"Payton, Elfrid",33.2,"6,400",nor,@ pho, 130-116,33:51,   8pt 6rb 10as 3st 6to 4-11fg
2019-03-01,SG,"Middleton, Khris",33,"7,200",mil,@ lal, 131-120,32:11,   18pt 5rb 6as 2trey 4-8fg 8-9ft
2019-03-01,SG,"Russell, D",32.5,"9,300",bkn,v cha, 112-123,28:18,   22pt 9as 3to 1trey 9-24fg 3-3ft
2019-03-01,PG,"Shamet, Landry",30.8,"3,800",lac,@ sac, 116-109,32:55,   20pt 4rb 2as 1bl 5trey 6-12fg 3-3ft
