Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2017-03-07,PG,"Westbrook, Russell",79.1,"13,100",okc,v por, 121-126,35:56,   58pt 3rb 9as 3st 1bl 4to 3trey 21-39fg 13-16ft
2017-03-07,PG,"Wall, John",57.8,"10,200",was,@ pho, 131-127,37:19,   25pt 4rb 14as 3st 2bl 3to 9-20fg 7-12ft
2017-03-07,PG,"Lillard, Damian",38.6,"9,600",por,@ okc, 126-121,36:03,   22pt 3rb 8as 1st 1to 2trey 8-17fg 4-5ft
2017-03-07,PG,"Russell, D",37.2,"6,400",lal,@ dal, 111-122,33:19,   22pt 1rb 4as 4st 2trey 8-17fg 4-4ft
2017-03-07,PG,"Bledsoe, Eric",35.1,"8,500",pho,v was, 127-131,27:04,   30pt 3rb 5as 6to 4trey 9-18fg 8-8ft
2017-03-07,SG,"Booker, Devin",32.8,"6,000",pho,v was, 127-131,37:36,   25pt 4rb 6as 6to 4trey 8-18fg 5-6ft
2017-03-07,SG,"Beal, Bradley",32.6,"8,000",was,@ pho, 131-127,32:48,   27pt 3rb 2st 2to 2trey 10-20fg 5-7ft
2017-03-07,SG,"Crabbe, Allen",29.8,"3,500",por,@ okc, 126-121,28:18,   23pt 4rb 2as 1to 5trey 7-10fg 4-4ft
2017-03-07,SG,"Curry, Seth",27.9,"6,200",dal,v lal, 122-111,30:56,   18pt 2rb 5as 1st 2to 4trey 7-12fg 0-1ft
2017-03-07,PG,"Ferrell, Yogi",26.9,"5,100",dal,v lal, 122-111,32:22,   16pt 2rb 7as 2to 2trey 6-9fg 2-2ft
2017-03-07,PG,"Clarkson, Jordan",23,"5,100",lal,@ dal, 111-122,34:25,   22pt 2as 2to 4trey 9-16fg
2017-03-07,SG,"McCollum, CJ",22.4,"7,200",por,@ okc, 126-121,37:09,   21pt 2rb 1to 1trey 8-20fg 4-4ft
2017-03-07,SG,"Matthews, Wes",21.6,"5,200",dal,v lal, 122-111,25:17,   15pt 3rb 2as 5trey 5-9fg
2017-03-07,SG,"Oladipo, Victor",21,"6,000",okc,v por, 121-126,25:41,   16pt 5rb 1to 4trey 5-9fg 2-2ft
2017-03-07,SG,"Barbosa, Leandro",19.9,"3,500",pho,v was, 127-131,23:26,   12pt 2rb 3as 1st 1bl 3to 2trey 3-9fg 4-4ft
2017-03-07,PG,"Ulis, Tyler",17.9,"5,300",pho,v was, 127-131,22:14,   7pt 2rb 5as 1st 1to 3-8fg 1-2ft
2017-03-07,PG,"Ennis, Tyler",15.4,"3,500",lal,@ dal, 111-122,17:25,   8pt 2rb 4as 1to 4-8fg
2017-03-07,SG,"Young, Nick",15.4,"4,200",lal,@ dal, 111-122,20:39,   13pt 2rb 3trey 4-10fg 2-2ft
2017-03-07,PG,"Napier, Shabazz",14.9,"3,500",por,@ okc, 126-121,13:33,   2pt 2rb 5as 2st 1to 1-1fg
2017-03-07,SG,"Cook, Quinn",14.5,"3,500",dal,v lal, 122-111,16:42,   10pt 3as 1st 2to 2trey 4-6fg
2017-03-07,PG,"Harris, Devin",14,"3,600",dal,v lal, 122-111,13:03,   7pt 4as 1st 1to 1trey 2-4fg 2-2ft
2017-03-07,SG,"Abrines, Alex",7.7,"3,500",okc,v por, 121-126,12:30,   5pt 1rb 1as 1trey 2-5fg
2017-03-07,PG,"Christon, Semaj",6.4,"3,500",okc,v por, 121-126,9:40,   0pt 2rb 2as 1st 1to 0-3fg
2017-03-07,PG,"Jennings, Brandon",2.5,"4,200",was,@ pho, 131-127,4:42,   2pt 1as 1to 1-3fg
2017-03-07,PG,"Cole, Norris",1.5,"3,600",okc,v por, 121-126,5:58,   2pt 1as 2to 1-2fg
2017-03-07,SG,"Satoransky, Tomas",1.2,"3,500",was,@ pho, 131-127,7:51,   0pt 1rb 0-1fg
2017-03-07,SG,"Brussino, Nicolas",1.2,"3,500",dal,v lal, 122-111,2:57,   0pt 1rb
2017-03-07,PG,"Price, Ronnie",0,"3,500",pho,v was, 127-131,0,   
2017-03-07,SG,"McClellan, Sheldon",0,"3,500",was,@ pho, 131-127,0,   
2017-03-07,SG,"Connaughton, Pat",0,"3,500",por,@ okc, 126-121,0,   
2017-03-07,SG,"Knight, Brandon",0,"3,600",pho,v was, 127-131,0,   
2017-03-07,PG,"Barea, Jose",0,"4,700",dal,v lal, 122-111,0,   
2017-03-07,PG,"Burke, Trey",-1,"3,500",was,@ pho, 131-127,3:41,   0pt 1to 0-1fg
2017-03-07,PF,"Randle, Julius",48.6,"6,200",lal,@ dal, 111-122,35:25,   13pt 18rb 10as 1st 3to 3-8fg 7-8ft
2017-03-07,SF,"Bogdanovic, Bojan",39.8,"4,000",was,@ pho, 131-127,29:12,   29pt 9rb 3trey 5-9fg 16-16ft
2017-03-07,PF,"Nowitzki, Dirk",39.7,"6,000",dal,v lal, 122-111,24:27,   25pt 11rb 1as 1bl 2to 3trey 9-13fg 4-4ft
2017-03-07,SF,"Warren, TJ",31.5,"5,600",pho,v was, 127-131,29:30,   15pt 10rb 3as 1trey 7-13fg
2017-03-07,PF,"Aminu, Al",26.4,"5,400",por,@ okc, 126-121,29:53,   12pt 7rb 1st 3bl 2to 1trey 5-6fg 1-2ft
2017-03-07,PF,"Smith, Jason",25.7,"3,600",was,@ pho, 131-127,23:12,   17pt 6rb 1as 1st 2to 2trey 6-7fg 3-4ft
2017-03-07,SF,"Ingram, Brandon",22.3,"3,700",lal,@ dal, 111-122,35:25,   13pt 4rb 5as 3to 1trey 5-9fg 2-4ft
2017-03-07,SF,"Harkless, Maurice",21.8,"4,800",por,@ okc, 126-121,28:57,   6pt 4rb 2as 2st 2bl 3-5fg 0-2ft
2017-03-07,SF,"Barnes, Harrison",21.2,"6,100",dal,v lal, 122-111,34:36,   14pt 6rb 2as 3to 6-14fg 2-4ft
2017-03-07,PF,"Vonleh, Noah",19,"3,500",por,@ okc, 126-121,21:54,   11pt 5rb 2as 1to 5-6fg 1-2ft
2017-03-07,PF,"Chriss, Marquese",18,"4,500",pho,v was, 127-131,26:17,   9pt 5rb 1st 1bl 1to 2trey 3-5fg 1-2ft
2017-03-07,PF,"Kanter, Enes",16.9,"5,800",okc,v por, 121-126,17:52,   11pt 7rb 1as 4to 5-6fg 1-1ft
2017-03-07,PF,"Nance, Larry",16.8,"4,000",lal,@ dal, 111-122,20:33,   8pt 4rb 1st 1bl 4-7fg
2017-03-07,SF,"Brewer, Corey",15.4,"3,500",lal,@ dal, 111-122,12:35,   9pt 2rb 1st 1bl 1trey 4-7fg
2017-03-07,SF,"Roberson, Andre",15.2,"4,100",okc,v por, 121-126,35:07,   9pt 6rb 1to 1trey 4-7fg
2017-03-07,PF,"Leonard, Meyers",14.7,"3,500",por,@ okc, 126-121,19:25,   12pt 1rb 1as 2trey 5-8fg
2017-03-07,SF,"Jones, Derrick",12.4,"3,500",pho,v was, 127-131,22:26,   6pt 2rb 2bl 3-3fg
2017-03-07,SF,"Porter, Otto",12.4,"6,100",was,@ pho, 131-127,24:06,   2pt 7rb 1st 1-6fg
2017-03-07,PF,"Gibson, Taj",12.1,"4,200",okc,v por, 121-126,23:23,   3pt 8rb 1as 2to 1-2fg 1-2ft
2017-03-07,PF,"Sabonis, Domantas",11.8,"3,500",okc,v por, 121-126,20:47,   8pt 4rb 1to 3-7fg 2-2ft
2017-03-07,PF,"Morris, Markieff",10.9,"6,600",was,@ pho, 131-127,25:10,   6pt 2rb 1as 1st 1to 1-5fg 4-4ft
2017-03-07,PF,"Robinson, Thomas",9.2,"3,600",lal,@ dal, 111-122,8:28,   0pt 6rb 1st 0-2fg
2017-03-07,PF,"Powell, Dwight",8.4,"3,500",dal,v lal, 122-111,8:06,   4pt 2rb 1st 1bl 2to 1-1fg 2-2ft
2017-03-07,SF,"Smith, Dorian",5.2,"3,500",dal,v lal, 122-111,22:43,   2pt 1rb 1st 1-4fg
2017-03-07,SF,"McDermott, Doug",3.5,"3,500",okc,v por, 121-126,13:44,   2pt 1as 0-1fg 2-2ft
2017-03-07,PF,"Dudley, Jared",3.5,"3,500",pho,v was, 127-131,5:43,   0pt 1as 1st 0-1fg
2017-03-07,SF,"Oubre, Kelly",2,"3,500",was,@ pho, 131-127,7:09,   2pt 0-2fg 2-2ft
2017-03-07,SF,"Grant, Jerami",2,"3,500",okc,v por, 121-126,10:50,   3pt 1to 1trey 1-3fg
2017-03-07,PF,"Bentil, Ben",0,"3,500",dal,v lal, 122-111,2:48,   0pt 0-3fg
2017-03-07,PF,"Collison, Nick",0,"3,500",okc,v por, 121-126,0,   
2017-03-07,PF,"Layman, Jake",0,"3,500",por,@ okc, 126-121,0,   
2017-03-07,PF,"Davis, Ed",0,"3,600",por,@ okc, 126-121,0,   
2017-03-07,SF,"Singler, Kyle",0,"3,500",okc,v por, 121-126,0,   
2017-03-07,SF,"Huestis, Josh",0,"3,500",okc,v por, 121-126,0,   
2017-03-07,PF,"McCullough, Chris",0,"3,500",was,@ pho, 131-127,0,   
2017-03-07,SF,"Peace, Metta",0,"3,500",lal,@ dal, 111-122,0,   
2017-03-07,SF,"Turner, Evan",0,"4,700",por,@ okc, 126-121,0,   
2017-03-07,PF,"Ochefu, Daniel",0,"3,500",was,@ pho, 131-127,0,   
2017-03-07,PF,"Bender, Dragan",0,"3,500",pho,v was, 127-131,0,   
2017-03-07,SF,"Deng, Luol",0,"3,500",lal,@ dal, 111-122,0,   
2017-03-07,C,"Mahinmi, Ian",42.3,"3,500",was,@ pho, 131-127,25:44,   15pt 9rb 1as 7st 1bl 1to 5-8fg 5-8ft
2017-03-07,C,"Noel, Nerlens",32.9,"6,100",dal,v lal, 122-111,22:41,   11pt 12rb 1as 3bl 4-8fg 3-4ft
2017-03-07,C,"Nurkic, Jusuf",30.6,"6,700",por,@ okc, 126-121,24:48,   17pt 8rb 4as 1st 4to 5-12fg 7-8ft
2017-03-07,C,"Len, Alex",29.2,"4,400",pho,v was, 127-131,21:34,   8pt 11rb 1st 4bl 2to 3-4fg 2-2ft
2017-03-07,C,"Williams, Alan",27,"5,500",pho,v was, 127-131,24:11,   15pt 10rb 5-9fg 5-9ft
2017-03-07,C,"Gortat, Marcin",13.1,"6,200",was,@ pho, 131-127,19:07,   6pt 3rb 1as 1bl 3-8fg
2017-03-07,C,"Adams, Steven",7.6,"5,700",okc,v por, 121-126,28:31,   4pt 3rb 1-1fg 2-5ft
2017-03-07,C,"Black, Tarik",5.8,"3,500",lal,@ dal, 111-122,13:29,   1pt 4rb 1bl 2to 0-3fg 1-2ft
2017-03-07,C,"Mejri, Salah",1.2,"3,500",dal,v lal, 122-111,3:23,   0pt 1rb
2017-03-07,C,"Chandler, Tyson",0,"4,000",pho,v was, 127-131,0,   
2017-03-07,C,"Mozgov, Timofey",0,"3,500",lal,@ dal, 111-122,0,   
2017-03-07,C,"Zubac, Ivica",0,"3,600",lal,@ dal, 111-122,0,   
2017-03-07,C,"Ezeli, Festus",0,"3,500",por,@ okc, 126-121,0,   
2017-03-07,C,"Hammons, AJ",0,"3,500",dal,v lal, 122-111,0,   
2017-03-07,NA,"Nwaba, David",5.2,N/A,lal,@ dal, 111-122,8:18,   2pt 1rb 1st 1-3fg 0-2ft
