Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2017-01-03,PG,"Thomas, Isaiah",57.3,"8,100",bos,v uta, 115-104,35:24,   29pt 4rb 15as 1st 1to 5trey 10-18fg 4-4ft
2017-01-03,PG,"Wall, John",47.8,"9,600",was,@ dal, 105-113,39:21,   27pt 4rb 8as 3st 1bl 4to 1trey 10-19fg 6-6ft
2017-01-03,PG,"Jackson, Reggie",47.4,"6,100",det,v ind, 116-121,32:04,   20pt 7rb 12as 2st 3to 3trey 8-18fg 1-1ft
2017-01-03,PG,"Dragic, Goran",40.1,"7,000",mia,@ pho, 90-99,37:35,   24pt 3rb 9as 2st 5to 1trey 9-18fg 5-6ft
2017-01-03,PG,"Collison, Darren",38.9,"4,100",sac,@ den, 120-113,35:40,   26pt 2rb 7as 1st 2to 2trey 10-16fg 4-4ft
2017-01-03,SG,"Beal, Bradley",37.8,"6,800",was,@ dal, 105-113,35:17,   25pt 4rb 6as 1to 3trey 10-26fg 2-3ft
2017-01-03,SG,"LaVine, Zach",36.1,"6,500",min,@ phi, 91-93,40:26,   28pt 3rb 1as 2st 1bl 3to 3trey 11-20fg 3-4ft
2017-01-03,PG,"Bledsoe, Eric",34.3,"7,900",pho,v mia, 99-90,35:11,   17pt 4rb 7as 2st 1bl 4to 2trey 4-14fg 7-8ft
2017-01-03,PG,"Russell, D",31.8,"6,000",lal,v mem, 116-102,32:32,   18pt 4rb 6as 1st 2to 6trey 6-12fg
2017-01-03,SG,"Booker, Devin",31.4,"6,000",pho,v mia, 99-90,35:12,   27pt 2rb 4as 1st 6to 3trey 9-19fg 6-7ft
2017-01-03,SG,"DeRozan, DeMar",30.8,"7,900",tor,@ sas, 82-110,31:48,   26pt 4rb 2as 3to 12-21fg 2-3ft
2017-01-03,PG,"Teague, Jeff",29.6,"7,900",ind,@ det, 121-116,33:26,   17pt 3rb 8as 1st 5to 1trey 5-8fg 6-7ft
2017-01-03,SG,"Pope, Kentavious",29.1,"5,700",det,v ind, 116-121,38:31,   16pt 3rb 5as 1st 1trey 5-13fg 5-5ft
2017-01-03,PG,"McConnell, TJ",28.4,"4,600",phi,v min, 93-91,35:06,   6pt 7rb 8as 2st 2to 3-9fg
2017-01-03,PG,"Parker, Tony",28.4,"4,500",sas,v tor, 110-82,22:02,   15pt 2rb 8as 1to 1trey 6-9fg 2-2ft
2017-01-03,PG,"Clarkson, Jordan",27.9,"4,300",lal,v mem, 116-102,18:24,   16pt 7rb 3as 1to 3trey 6-9fg 1-3ft
2017-01-03,SG,"Temple, Garrett",27.7,"4,200",sac,@ den, 120-113,25:14,   8pt 6rb 5as 2st 1bl 1to 4-9fg
2017-01-03,PG,"Williams, Deron",26.2,"6,100",dal,v was, 113-105,31:55,   21pt 1rb 6as 5to 4trey 7-13fg 3-3ft
2017-01-03,PG,"Conley, Mike",26.2,"7,000",mem,@ lal, 102-116,32:09,   21pt 1rb 4as 2to 3trey 7-16fg 4-4ft
2017-01-03,SG,"Afflalo, Arron",25.6,"3,500",sac,@ den, 120-113,30:09,   19pt 3rb 2as 1st 2to 2trey 8-11fg 1-1ft
2017-01-03,PG,"Harris, Devin",25.3,"3,500",dal,v was, 113-105,17:01,   17pt 4rb 1as 1st 4trey 6-11fg 1-1ft
2017-01-03,SG,"Young, Nick",23,"4,700",lal,v mem, 116-102,26:57,   20pt 2as 6trey 6-11fg 2-4ft
2017-01-03,SG,"Richardson, Josh",22.9,"5,900",mia,@ pho, 90-99,36:52,   11pt 2rb 3as 2st 2bl 3to 1trey 5-16fg
2017-01-03,SG,"Harris, Gary",22.7,"4,700",den,v sac, 113-120,31:59,   15pt 1rb 3as 1st 3trey 6-11fg
2017-01-03,SG,"Curry, Seth",22.4,"4,300",dal,v was, 113-105,22:25,   16pt 2rb 2as 1st 1to 4trey 5-8fg 2-2ft
2017-01-03,SG,"Ellis, Monta",20.7,"4,000",ind,@ det, 121-116,20:29,   16pt 1rb 3as 1to 6-6fg 4-5ft
2017-01-03,SG,"Williams, Louis",20.2,"4,800",lal,v mem, 116-102,17:18,   14pt 1rb 2as 1st 1trey 4-9fg 5-5ft
2017-01-03,PG,"Joseph, Cory",20.1,"4,000",tor,@ sas, 82-110,24:18,   11pt 3rb 3as 1st 1to 1trey 3-11fg 4-5ft
2017-01-03,SG,"Matthews, Wes",19.4,"5,600",dal,v was, 113-105,38:12,   12pt 2rb 2as 1bl 2trey 5-11fg
2017-01-03,SG,"Hood, Rodney",18.6,"4,600",uta,@ bos, 104-115,34:39,   9pt 3rb 4as 3-10fg 3-6ft
2017-01-03,SG,"Bradley, Avery",17.6,"6,500",bos,v uta, 115-104,36:22,   14pt 3rb 2as 3to 2trey 4-7fg 4-4ft
2017-01-03,PG,"Mack, Shelvin",17.2,"4,200",uta,@ bos, 104-115,25:59,   8pt 1rb 4as 1st 3-10fg 2-2ft
2017-01-03,PG,"Rubio, Ricky",17.1,"5,900",min,@ phi, 91-93,30:16,   5pt 3rb 5as 2st 3to 1trey 2-3fg
2017-01-03,SG,"McGruder, Rodney",15.5,"3,500",mia,@ pho, 90-99,33:20,   8pt 5rb 1as 2trey 3-10fg
2017-01-03,PG,"Mudiay, Emmanuel",15.4,"5,000",den,v sac, 113-120,27:33,   5pt 2rb 6as 1to 1trey 2-8fg
