Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2018-12-23,PG,"Curry, Stephen",55.2,"9,500",gsw,v lac, 129-127,35:39,   42pt 6rb 2as 1st 6trey 12-22fg 12-13ft
2018-12-23,PG,"Westbrook, Russell",50.2,"11,800",okc,v min, 112-114,35:50,   23pt 11rb 10as 1st 4to 1trey 10-19fg 2-4ft
2018-12-23,PG,"Lillard, Damian",46.9,"9,400",por,v dal, 121-118,39:25,   33pt 2rb 7as 1bl 2to 2trey 11-24fg 9-9ft
2018-12-23,PG,"Fox, De",44.7,"8,200",sac,v nor, 122-117,33:52,   19pt 1rb 11as 2st 1bl 1to 1trey 5-15fg 8-11ft
2018-12-23,SG,"Doncic, Luka",44.2,"8,300",dal,@ por, 118-121,35:26,   23pt 11rb 6as 1to 2trey 7-21fg 7-9ft
2018-12-23,SG,"Holiday, Jrue",42.4,"9,200",nor,@ sac, 117-122,36:59,   27pt 7rb 6as 2to 1trey 12-21fg 2-3ft
2018-12-23,PG,"Dunn, Kris",42.1,"7,500",chi,@ cle, 112-92,28:41,   17pt 8rb 7as 1st 1bl 1to 8-11fg 1-1ft
2018-12-23,SG,"Wiggins, Andrew",40.7,"6,200",min,@ okc, 114-112,42:26,   30pt 6rb 5as 4to 2trey 11-20fg 6-10ft
2018-12-23,SG,"Bogdanovic, Bogdan",40.3,"6,000",sac,v nor, 122-117,31:22,   24pt 4rb 7as 1st 2to 2trey 7-16fg 8-9ft
2018-12-23,PG,"Irving, Kyrie",39.3,"9,400",bos,v cha, 119-103,28:53,   25pt 4rb 5as 1bl 1to 4trey 9-12fg 3-4ft
2018-12-23,SG,"Williams, Louis",38.9,"5,200",lac,@ gsw, 127-129,25:06,   25pt 2rb 9as 2to 1trey 6-14fg 12-14ft
2018-12-23,SG,"Oladipo, Victor",38.7,"8,400",ind,v was, 105-89,36:13,   12pt 6rb 9as 3st 3to 2trey 4-13fg 2-2ft
2018-12-23,SG,"McCollum, CJ",38.5,"6,400",por,v dal, 121-118,34:02,   22pt 5rb 5as 1st 1trey 10-20fg 1-2ft
2018-12-23,PG,"Arcidiacono, Ryan",37.8,"3,900",chi,@ cle, 112-92,33:17,   12pt 4rb 8as 3st 1trey 5-8fg 1-1ft
2018-12-23,PG,"Walker, Kemba",37.6,"9,800",cha,@ bos, 103-119,28:38,   21pt 3rb 4as 2st 1bl 2to 3trey 8-15fg 2-2ft
2018-12-23,SG,"Booker, Devin",36.9,"8,900",pho,@ bkn, 103-111,30:03,   25pt 2rb 9as 4to 1trey 10-23fg 4-4ft
2018-12-23,SG,"Russell, D",36.2,"6,900",bkn,v pho, 111-103,30:50,   18pt 6rb 8as 2st 7to 2trey 6-18fg 4-4ft
2018-12-23,PG,"Conley, Mike",35.2,"8,600",mem,@ lal, 107-99,35:08,   17pt 1rb 8as 2st 1to 3trey 7-13fg
2018-12-23,SG,"Hield, Buddy",34.7,"6,900",sac,v nor, 122-117,36:32,   28pt 6rb 1as 2to 6trey 11-18fg 0-1ft
2018-12-23,PG,"Frazier, Tim",34.3,"4,600",nor,@ sac, 117-122,22:30,   12pt 4rb 7as 2st 1bl 2to 2trey 4-7fg 2-2ft
2018-12-23,PG,"Dinwiddie, Spencer",33.9,"7,100",bkn,v pho, 111-103,26:07,   24pt 2rb 7as 3to 2trey 7-14fg 8-9ft
2018-12-23,SG,"Bazemore, Kent",33.3,"6,800",atl,@ det, 98-95,35:02,   13pt 4rb 1as 2st 3bl 1to 1trey 4-13fg 4-4ft
2018-12-23,SG,"Temple, Garrett",31.9,"4,300",mem,@ lal, 107-99,39:56,   14pt 7rb 1as 1st 2bl 1to 4trey 5-7fg
2018-12-23,SG,"Fournier, Evan",30.2,"5,700",orl,v mia, 91-115,26:43,   17pt 6rb 4as 1st 3to 3trey 5-11fg 4-6ft
2018-12-23,PG,"Rozier, Terry",30.2,"4,000",bos,v cha, 119-103,25:30,   9pt 6rb 6as 1st 1bl 1to 3-10fg 3-3ft
2018-12-23,PG,"Young, Trae",29.4,"6,900",atl,@ det, 98-95,30:58,   12pt 7rb 6as 2st 6to 4-14fg 4-6ft
2018-12-23,SG,"Holiday, Justin",27.5,"5,600",chi,@ cle, 112-92,34:22,   15pt 5rb 1as 3st 4to 3trey 5-8fg 2-2ft
2018-12-23,PG,"Johnson, Tyler",27.2,"4,200",mia,@ orl, 115-91,28:04,   25pt 1rb 2as 2to 6trey 9-15fg 1-1ft
2018-12-23,SG,"Lamb, Jeremy",27.1,"7,000",cha,@ bos, 103-119,27:33,   14pt 3rb 5as 1st 1to 1trey 4-12fg 5-8ft
2018-12-23,SG,"Okogie, Josh",25.4,"3,600",min,@ okc, 114-112,25:00,   9pt 2rb 2as 3st 1bl 1to 1trey 3-10fg 2-5ft
