Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2017-01-20,PG,"Walker, Kemba",46.8,"8,300",cha,v tor, 113-78,28:50,   32pt 4rb 8as 2to 6trey 11-16fg 4-5ft
2017-01-20,SG,"Antetokounmpo, Giannis",39.3,"11,100",mil,@ orl, 96-112,35:42,   17pt 14rb 5as 1st 4to 1trey 6-17fg 4-4ft
2017-01-20,PG,"Conley, Mike",38.6,"7,700",mem,v sac, 107-91,34:01,   16pt 8rb 8as 2st 3to 2trey 6-13fg 2-2ft
2017-01-20,SG,"Williams, Louis",37.3,"4,900",lal,v ind, 108-96,29:32,   27pt 4rb 3as 1st 1bl 3to 4trey 7-15fg 9-10ft
2017-01-20,SG,"Harden, James",36.9,"12,200",hou,v gsw, 108-125,34:56,   17pt 7rb 11as 1st 7to 6-13fg 5-5ft
2017-01-20,PG,"Payton, Elfrid",36.8,"6,000",orl,v mil, 112-96,37:29,   20pt 4rb 6as 3st 3to 2trey 6-11fg 6-6ft
2017-01-20,PG,"Curry, Stephen",36.7,"9,100",gsw,@ hou, 125-108,32:57,   24pt 1rb 7as 1st 1to 5trey 8-18fg 3-5ft
2017-01-20,PG,"Schroder, Dennis",34.6,"6,300",atl,v chi, 102-93,26:32,   25pt 3rb 6as 1st 5to 2trey 11-14fg 1-1ft
2017-01-20,PG,"Lillard, Damian",34.5,"8,400",por,@ phi, 92-93,36:04,   30pt 5rb 1as 1st 5to 2trey 12-25fg 4-5ft
2017-01-20,PG,"Lowry, Kyle",30.7,"8,800",tor,@ cha, 78-113,34:23,   24pt 1rb 3as 1st 1to 3trey 7-18fg 7-7ft
2017-01-20,PG,"Williams, Deron",29.8,"5,900",dal,v uta, 107-112,35:08,   16pt 4rb 8as 3to 1trey 6-14fg 3-5ft
2017-01-20,SG,"McCollum, CJ",28.8,"8,100",por,@ phi, 92-93,35:20,   16pt 4rb 4as 3st 4to 2trey 5-18fg 4-4ft
2017-01-20,SG,"Temple, Garrett",28.1,"4,100",sac,@ mem, 91-107,33:11,   14pt 3rb 3as 1st 2bl 2trey 5-9fg 2-3ft
2017-01-20,SG,"Matthews, Wes",27.1,"5,400",dal,v uta, 107-112,38:59,   11pt 8rb 3as 2st 2to 1trey 4-10fg 2-2ft
2017-01-20,PG,"Brogdon, Malcolm",26.9,"5,400",mil,@ orl, 96-112,35:18,   16pt 2rb 5as 1st 1to 4trey 6-11fg
2017-01-20,PG,"Holiday, Jrue",26.6,"6,500",nor,v bkn, 114-143,27:44,   12pt 3rb 8as 1st 3to 1trey 4-12fg 3-4ft
