Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2018-10-29,SG,"DeRozan, DeMar",61.7,"8,800",sas,v dal, 113-108,42:53,   34pt 6rb 9as 3st 2to 12-21fg 10-10ft
2018-10-29,SG,"Thompson, Klay",59,"6,200",gsw,@ chi, 149-124,26:33,   52pt 5rb 1st 2to 14trey 18-29fg 2-2ft
2018-10-29,SG,"Butler, Jimmy",54.2,"9,400",min,v lal, 124-120,36:38,   32pt 6rb 4as 1st 2bl 6trey 12-20fg 2-2ft
2018-10-29,PG,"Curry, Stephen",51.1,"9,800",gsw,@ chi, 149-124,24:50,   23pt 8rb 5as 3st 1bl 1to 2trey 7-9fg 7-7ft
2018-10-29,PG,"Simmons, Ben",49.9,"10,500",phi,v atl, 113-92,26:54,   21pt 12rb 9as 1bl 2to 8-11fg 5-5ft
2018-10-29,SG,"Harris, Gary",48.2,"7,200",den,v nor, 116-111,33:01,   23pt 6rb 6as 2st 1bl 1trey 8-16fg 6-8ft
2018-10-29,PG,"Murray, Jamal",47,"7,200",den,v nor, 116-111,38:52,   23pt 5rb 2as 5st 1bl 3to 2trey 9-19fg 3-3ft
2018-10-29,PG,"Lowry, Kyle",46.7,"8,800",tor,@ mil, 109-124,34:09,   9pt 6rb 15as 2st 2bl 4to 3-14fg 3-5ft
2018-10-29,SG,"Doncic, Luka",46.6,"7,600",dal,@ sas, 108-113,39:55,   31pt 8rb 4as 1st 1bl 6to 4trey 11-18fg 5-6ft
2018-10-29,SG,"Hield, Buddy",46.1,"6,400",sac,@ mia, 123-113,35:30,   23pt 8rb 5as 2st 1bl 3to 4trey 8-14fg 3-4ft
2018-10-29,SG,"Oladipo, Victor",44.3,"9,000",ind,v por, 93-103,36:00,   21pt 9rb 7as 1st 1to 2trey 9-24fg 1-1ft
2018-10-29,SG,"Jr, Tim",44,"6,700",nyk,v bkn, 115-96,34:54,   25pt 5rb 8as 1st 2to 3trey 8-19fg 6-7ft
2018-10-29,SG,"Holiday, Jrue",40.1,"8,000",nor,@ den, 111-116,34:31,   16pt 8rb 9as 1st 1bl 5to 2trey 7-13fg
2018-10-29,PG,"Fox, De",39.8,"7,700",sac,@ mia, 123-113,34:02,   20pt 4rb 8as 2st 1bl 6to 1trey 8-15fg 3-5ft
2018-10-29,SG,"Okogie, Josh",38.3,"4,200",min,v lal, 124-120,30:05,   17pt 4rb 3as 3st 1bl 1trey 6-13fg 4-4ft
2018-10-29,PG,"Collison, Darren",34.4,"4,600",ind,v por, 93-103,36:04,   17pt 2rb 6as 2st 8-14fg 1-2ft
2018-10-29,SG,"LaVine, Zach",34.2,"8,400",chi,v gsw, 124-149,26:54,   21pt 6rb 2as 2st 3to 2trey 8-17fg 3-4ft
2018-10-29,SG,"Redick, JJ",34.1,"5,400",phi,v atl, 113-92,25:16,   14pt 8rb 3as 2st 1bl 3to 4trey 4-15fg 2-2ft
2018-10-29,SG,"Middleton, Khris",33.8,"7,500",mil,v tor, 124-109,31:15,   14pt 4rb 8as 2st 3to 4trey 4-11fg 2-3ft
2018-10-29,SG,"Bazemore, Kent",33.1,"6,300",atl,@ phi, 92-113,32:33,   18pt 3rb 1as 2st 2bl 2to 2trey 7-16fg 2-5ft
2018-10-29,PG,"Dragic, Goran",32.7,"6,700",mia,v sac, 113-123,31:06,   20pt 1rb 5as 2st 2to 4trey 7-15fg 2-2ft
2018-10-29,PG,"Bledsoe, Eric",31.4,"7,700",mil,v tor, 124-109,25:56,   17pt 2rb 8as 1bl 3to 2trey 7-12fg 1-1ft
