Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2017-01-31,PG,"Westbrook, Russell",51.2,"12,200",okc,@ sas, 94-108,33:44,   27pt 6rb 14as 1st 6to 3trey 7-17fg 10-10ft
2017-01-31,PG,"Lowry, Kyle",49.8,"8,700",tor,v nor, 108-106,44:51,   33pt 4rb 10as 3to 6trey 11-21fg 5-7ft
2017-01-31,PG,"Russell, D",47.4,"5,700",lal,v den, 120-116,34:09,   22pt 7rb 10as 1st 1bl 2to 2trey 7-17fg 6-8ft
2017-01-31,PG,"Holiday, Jrue",41.9,"7,800",nor,@ tor, 106-108,41:18,   30pt 2rb 3as 2st 2bl 3to 3trey 13-21fg 1-2ft
2017-01-31,SG,"Williams, Louis",40.5,"6,200",lal,v den, 120-116,24:09,   21pt 5rb 7as 2st 1to 4trey 7-11fg 3-3ft
2017-01-31,PG,"Lillard, Damian",38.8,"8,300",por,v cha, 115-98,30:50,   27pt 4rb 4as 1st 1to 2trey 10-18fg 5-5ft
2017-01-31,PG,"Wall, John",37.3,"10,500",was,v nyk, 117-101,33:57,   15pt 4rb 13as 2to 1trey 6-18fg 2-3ft
2017-01-31,SG,"Beal, Bradley",35.4,"7,000",was,v nyk, 117-101,31:53,   28pt 2rb 4as 1st 3to 2trey 12-18fg 2-2ft
2017-01-31,PG,"Walker, Kemba",35.1,"8,300",cha,@ por, 98-115,32:26,   22pt 3rb 5as 2st 2to 3trey 8-18fg 3-3ft
2017-01-31,PG,"Jennings, Brandon",34,"5,600",nyk,@ was, 101-117,37:40,   21pt 5rb 2as 4st 4to 2trey 5-16fg 9-11ft
2017-01-31,SG,"Batum, Nicolas",32.6,"7,300",cha,@ por, 98-115,33:52,   18pt 8rb 6as 4to 4trey 6-12fg 2-4ft
2017-01-31,SG,"Powell, Norman",32.3,"4,200",tor,v nor, 108-106,40:29,   18pt 4rb 3as 2st 2bl 3to 8-15fg 2-2ft
2017-01-31,SG,"Young, Nick",32.1,"3,900",lal,v den, 120-116,29:32,   23pt 3rb 3as 1st 1to 5trey 9-15fg 0-1ft
2017-01-31,SG,"Harris, Gary",31.8,"5,000",den,@ lal, 116-120,32:02,   17pt 4rb 4as 4st 4to 3trey 6-11fg 2-2ft
2017-01-31,SG,"McCollum, CJ",31.4,"7,900",por,v cha, 115-98,26:26,   18pt 2rb 4as 3st 1to 2trey 7-14fg 2-2ft
