Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2018-10-23,SG,"Redick, JJ",46.2,"5,300",phi,@ det, 132-133,37:20,   30pt 6rb 6as 6trey 9-21fg 6-7ft
2018-10-23,PG,"Payton, Elfrid",43.2,"7,000",nor,v lac, 116-109,35:45,   20pt 6rb 6as 3st 2to 1trey 7-11fg 5-7ft
2018-10-23,PG,"Beverley, Patrick",34,"4,400",lac,@ nor, 109-116,26:42,   12pt 10rb 8as 2to 1trey 5-10fg 1-3ft
2018-10-23,SG,"Holiday, Jrue",31.7,"7,800",nor,v lac, 116-109,37:54,   8pt 6rb 9as 2st 3to 2-15fg 4-6ft
2018-10-23,SG,"Harris, Gary",31.1,"7,200",den,v sac, 126-112,26:19,   18pt 3rb 5as 1st 1to 2trey 8-12fg
2018-10-23,SG,"III, Frank",30.5,"3,800",sac,@ den, 112-126,27:27,   14pt 5rb 7as 1st 3to 2trey 6-10fg
2018-10-23,PG,"Jackson, Reggie",30.1,"6,300",det,v phi, 133-132,38:44,   23pt 3rb 3as 1to 3trey 7-14fg 6-6ft
2018-10-23,PG,"Smith, Ishmael",29.7,"4,600",det,v phi, 133-132,32:46,   21pt 1rb 3as 1bl 2trey 9-12fg 1-1ft
2018-10-23,PG,"Murray, Jamal",29.2,"6,400",den,v sac, 126-112,18:30,   19pt 1rb 4as 1st 3trey 6-10fg 4-4ft
2018-10-23,PG,"Morris, Monte",28.1,"3,600",den,v sac, 126-112,28:57,   11pt 3rb 7as 1st 1trey 4-12fg 2-2ft
2018-10-23,PG,"McConnell, TJ",24.6,"4,000",phi,@ det, 132-133,32:01,   10pt 3rb 8as 1st 4to 5-8fg
2018-10-23,SG,"Bullock, Reggie",23.9,"4,400",det,v phi, 133-132,41:25,   17pt 2rb 3as 2trey 6-14fg 3-3ft
2018-10-23,SG,"Shumpert, Iman",22.9,"4,300",sac,@ den, 112-126,19:45,   12pt 2rb 3as 2st 2to 2trey 4-7fg 2-2ft
2018-10-23,SG,"Fultz, Markelle",22.7,"5,900",phi,@ det, 132-133,20:59,   13pt 6rb 1as 1bl 2to 1trey 6-9fg
2018-10-23,PG,"Alexander, Shai",19.8,"4,500",lac,@ nor, 109-116,22:11,   9pt 4rb 2as 1st 1bl 3to 1trey 3-8fg 2-2ft
2018-10-23,PG,"Fox, De",18.2,"8,000",sac,@ den, 112-126,20:33,   6pt 1rb 4as 2st 1to 2-8fg 2-5ft
2018-10-23,SG,"Williams, Louis",18.1,"5,500",lac,@ nor, 109-116,26:06,   17pt 3rb 1as 4to 8-15fg 1-2ft
2018-10-23,SG,"Beasley, Malik",15.2,"3,500",den,v sac, 126-112,19:29,   11pt 1rb 1bl 1trey 5-10fg
2018-10-23,PG,"Ferrell, Yogi",13.4,"3,800",sac,@ den, 112-126,20:30,   11pt 2rb 1trey 4-9fg 2-2ft
2018-10-23,SG,"Craig, Torrey",11.7,"3,900",den,v sac, 126-112,22:52,   7pt 1rb 1as 1st 1to 1trey 3-5fg
2018-10-23,SG,"Hield, Buddy",10.5,"6,000",sac,@ den, 112-126,23:15,   5pt 5rb 1as 2to 1trey 2-7fg
2018-10-23,PG,"Shamet, Landry",8,"3,700",phi,@ det, 132-133,24:24,   5pt 2as 1trey 2-5fg
2018-10-23,SG,"Galloway, Langston",6.4,"3,600",det,v phi, 133-132,24:43,   4pt 2rb 1-3fg 2-2ft
2018-10-23,SG,"Kennard, Luke",6.2,"3,700",det,v phi, 133-132,11:16,   2pt 1rb 2as 1-3fg
2018-10-23,SG,"McLemore, Ben",6,"3,500",sac,@ den, 112-126,4:56,   6pt 2trey 2-3fg 0-2ft
2018-10-23,SG,"Bradley, Avery",3.4,"3,900",lac,@ nor, 109-116,28:30,   2pt 2rb 1to 1-8fg
2018-10-23,SG,"Clark, Ian",1.2,"3,600",nor,v lac, 116-109,3:46,   0pt 1rb
2018-10-23,SG,"Purcell, DeVaughn",1,"3,500",den,v sac, 126-112,2:45,   1pt 0-2fg 1-2ft
2018-10-23,SG,"Wallace, Tyrone",0,"3,500",lac,@ nor, 109-116,00:28,   0pt
2018-10-23,PG,"Jackson, Demetrius",0,"3,500",phi,@ det, 132-133,0,   
2018-10-23,SG,"Korkmaz, Furkan",0,"3,500",phi,@ det, 132-133,0,   
2018-10-23,PG,"Teodosic, Milos",0,"3,600",lac,@ nor, 109-116,0,   
2018-10-23,PG,"Calderon, Jose",0,"3,500",det,v phi, 133-132,0,   
2018-10-23,PG,"Frazier, Tim",0,"3,500",nor,v lac, 116-109,0,   
2018-10-23,SG,"Brown, Bruce",0,"3,500",det,v phi, 133-132,0,   
2018-10-23,SG,"Jackson, Frank",0,"3,500",nor,v lac, 116-109,0,   
2018-10-23,SG,"Milton, Shake",0,"3,500",phi,@ det, 132-133,0,   
2018-10-23,SG,"Thornwell, Sindarius",0,"3,500",lac,@ nor, 109-116,0,   
2018-10-23,PG,"Thomas, Isaiah",0,"5,200",den,v sac, 126-112,0,   
2018-10-23,SG,"Thomas, Khyri",0,"3,700",det,v phi, 133-132,0,   
2018-10-23,PG,"Simmons, Ben",0,"10,500",phi,@ det, 132-133,0,   
2018-10-23,PG,"Evans, Keenan",0,"3,500",det,v phi, 133-132,0,   
2018-10-23,SG,"Lofton, Zach",0,"3,500",det,v phi, 133-132,0,   
2018-10-23,PG,"Bayless, Jerryd",0,"3,500",phi,@ det, 132-133,0,   
2018-10-23,SG,"Smith, Zhaire",0,"3,600",phi,@ det, 132-133,0,   
2018-10-23,SG,"Bogdanovic, Bogdan",0,"5,800",sac,@ den, 112-126,0,   
2018-10-23,SG,"Bluiett, Trevon",0,"3,500",nor,v lac, 116-109,0,   
2018-10-23,PG,"Robinson, Jerome",0,"3,600",lac,@ nor, 109-116,0,   
2018-10-23,PF,"Griffin, Blake",77.8,"8,800",det,v phi, 133-132,44:02,   50pt 14rb 6as 1bl 1to 5trey 20-35fg 5-11ft
2018-10-23,PF,"Davis, Anthony",70.6,"13,000",nor,v lac, 116-109,40:09,   34pt 13rb 2as 1st 5bl 2trey 11-21fg 10-15ft
2018-10-23,PF,"Bagley, Marvin",46.3,"4,700",sac,@ den, 112-126,32:20,   20pt 9rb 3as 5bl 4to 1trey 9-11fg 1-3ft
2018-10-23,PF,"Harris, Tobias",43.3,"7,900",lac,@ nor, 109-116,37:30,   26pt 9rb 3as 1st 1to 2trey 8-16fg 8-9ft
2018-10-23,SF,"Gallinari, Danilo",38.7,"6,600",lac,@ nor, 109-116,35:07,   24pt 6rb 1as 1st 1bl 1trey 8-15fg 7-7ft
2018-10-23,PF,"Jokic, Nikola",37.4,"10,600",den,v sac, 126-112,23:17,   14pt 12rb 6as 1st 3to 1trey 6-11fg 1-1ft
2018-10-23,PF,"Saric, Dario",36.1,"5,900",phi,@ det, 132-133,37:41,   14pt 8rb 5as 1st 1bl 1to 2trey 5-16fg 2-3ft
2018-10-23,SF,"Mirotic, Nikola",34.4,"7,400",nor,v lac, 116-109,30:01,   18pt 12rb 1bl 1to 7-18fg 4-5ft
2018-10-23,SF,"Covington, Robert",33.6,"6,100",phi,@ det, 132-133,44:12,   16pt 8rb 2as 1st 1bl 1to 3trey 6-11fg 1-2ft
2018-10-23,PF,"Harrell, Montrezl",30.7,"4,900",lac,@ nor, 109-116,22:59,   12pt 6rb 1as 2st 2bl 2to 5-6fg 2-2ft
