Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2018-12-26,SG,"Booker, Devin",59.4,"9,100",pho,@ orl, 122-120,39:52,   35pt 7rb 8as 2st 1bl 5to 5trey 13-24fg 4-5ft
2018-12-26,PG,"Dinwiddie, Spencer",54.9,"6,900",bkn,v cha, 134-132,41:29,   37pt 2rb 11as 1to 7trey 12-29fg 6-8ft
2018-12-26,PG,"Walker, Kemba",53.7,"9,800",cha,@ bkn, 132-134,44:25,   35pt 6rb 5as 2st 2to 4trey 13-26fg 5-6ft
2018-12-26,SG,"DeRozan, DeMar",52.9,"8,700",sas,v den, 111-103,37:40,   30pt 7rb 5as 2st 1bl 2to 1trey 9-17fg 11-14ft
2018-12-26,SG,"Doncic, Luka",48.8,"8,300",dal,v nor, 122-119,31:21,   21pt 9rb 10as 1st 1to 5-13fg 11-12ft
2018-12-26,SG,"Lamb, Jeremy",48.7,"6,600",cha,@ bkn, 132-134,49:03,   31pt 6rb 3as 2st 3trey 11-18fg 6-7ft
2018-12-26,SG,"Bazemore, Kent",47.2,"6,800",atl,v ind, 121-129,30:54,   32pt 1rb 4as 2st 1bl 1to 4trey 14-25fg 0-2ft
2018-12-26,SG,"Holiday, Jrue",45,"9,200",nor,@ dal, 119-122,35:18,   25pt 5rb 6as 1st 1bl 1to 3trey 9-16fg 4-6ft
2018-12-26,PG,"Augustin, DJ",44.4,"4,800",orl,v pho, 120-122,41:21,   27pt 2rb 6as 3st 3to 3trey 8-18fg 8-9ft
2018-12-26,PG,"Fox, De",43.7,"8,200",sac,@ lac, 118-127,29:51,   19pt 6rb 9as 2st 2to 8-15fg 3-4ft
2018-12-26,PG,"Rose, Derrick",43.6,"7,300",min,@ chi, 119-94,38:11,   24pt 3rb 8as 2st 2to 1trey 11-19fg 1-1ft
2018-12-26,SG,"Clarkson, Jordan",40,"5,400",cle,@ mem, 87-95,30:52,   24pt 5rb 2as 3st 2to 4trey 10-20fg
2018-12-26,SG,"Williams, Louis",39.6,"5,400",lac,v sac, 127-118,22:26,   24pt 3rb 6as 1st 1bl 3to 4trey 9-15fg 2-2ft
2018-12-26,PG,"Wall, John",38.4,"9,700",was,@ det, 95-106,37:40,   21pt 7rb 8as 1bl 6to 2trey 9-19fg 1-1ft
2018-12-26,PG,"Johnson, Tyler",38.2,"4,300",mia,v tor, 104-106,29:17,   12pt 6rb 6as 3st 1bl 2to 2trey 4-8fg 2-4ft
2018-12-26,SG,"Beasley, Malik",37.9,"4,100",den,@ sas, 103-111,30:18,   22pt 7rb 3as 1st 4trey 8-19fg 2-2ft
2018-12-26,SG,"Beal, Bradley",37.3,"9,000",was,@ det, 95-106,44:54,   21pt 4rb 1as 2st 2bl 2to 1trey 10-23fg
2018-12-26,SG,"Oladipo, Victor",34.9,"8,500",ind,@ atl, 129-121,34:40,   16pt 7rb 7as 1st 3to 2trey 5-13fg 4-6ft
2018-12-26,PG,"Collison, Darren",34,"4,500",ind,@ atl, 129-121,29:12,   11pt 5rb 8as 1st 1bl 1to 2trey 4-7fg 1-2ft
2018-12-26,PG,"Barea, Jose",33.5,"4,900",dal,v nor, 122-119,28:35,   18pt 5rb 7as 1st 4to 4trey 7-13fg
2018-12-26,PG,"Conley, Mike",33.4,"8,600",mem,v cle, 95-87,33:11,   15pt 2rb 8as 2st 2to 6-16fg 3-3ft
2018-12-26,PG,"Joseph, Cory",33.2,"3,900",ind,@ atl, 129-121,23:46,   14pt 1rb 6as 3st 2trey 5-7fg 2-2ft
2018-12-26,PG,"Dunn, Kris",33.1,"7,600",chi,v min, 94-119,30:17,   9pt 8rb 7as 2st 2to 4-11fg 1-3ft
