Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Landry Shamet,,O,PG,3800,LAC,@SAS,1,116,13,6,103,112,0%,7,8,8,30,29,31,12.1,14.3,9.8,18.7,0.0,0.0,0.0,0,0.0,0.0
Nicolas Batum,,,SF,3800,CHA,@DET,1,103,12,11,102,107,-1%,6,4,3,25,24,23,18.4,17.7,10.6,24.8,23.5,17.1,4.5,26.7,12.0,3.2
Andre Iguodala,,O,SG,3800,MEM,UTA,1,108,,,103,101,-10%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Patrick Mills,,,PG,3800,SAS,LAC,1,111,20,16,105,103,7%,6,7,8,24,27,23,19.6,18.5,9.9,27.1,22.0,16.9,4.4,23.1,18.7,4.9
George Hill,2,,PG,3800,MIL,@CLE,1,121,15,17,102,110,9%,5,6,6,17,20,23,18.1,19.5,12.1,27.0,21.5,17.4,4.6,22.3,26.4,6.9
Cheick Diallo,1,,PF,3800,PHO,DAL,1,115,16,24,103,108,1%,10,6,3,30,20,10,20.8,10.5,-0.5,21.5,11.5,11.5,3.0,3.5,3.9,1.0
Sterling Brown,,O,SG,3800,MIL,@CLE,1,121,15,12,102,110,6%,6,5,5,19,20,18,15.1,16.1,8.1,24.0,0.0,0.0,0.0,0,0.0,0.0
James Johnson,,,PF,3800,MIA,GSW,1,111,,,104,111,1%,1,1,3,5,9,11,5.0,8.4,-0.9,17.7,0.0,0.0,0.0,0,0.0,0.0
Emmanuel Mudiay,,,PG,3700,UTA,@MEM,1,115,25,15,107,110,9%,6,6,7,16,16,17,14.0,15.7,9.8,21.5,15.5,14.2,3.8,9.6,4.7,1.3
Chris Boucher,9,,PF,3700,TOR,@ORL,1,106,19,21,100,103,-3%,6,8,5,19,19,13,23.1,16.4,4.3,28.5,19.0,21.3,5.8,11.9,20.1,5.4
Bruno Fernando,,,PF,3700,ATL,@IND,1,106,16,14,102,101,-9%,5,3,4,17,14,13,14.0,11.6,4.4,18.7,16.0,15.2,4.1,14.6,14.8,4.0
Ersan Ilyasova,,,PF,3700,MIL,@CLE,1,121,14,16,102,110,-1%,6,5,5,18,16,17,17.4,16.5,9.5,23.4,15.5,13.9,3.8,18.9,10.0,2.7
Robert Williams,,,C,3700,BOS,@BKN,1,109,12,20,106,106,3%,3,2,3,14,14,14,13.2,16.9,7.6,26.2,0.0,0.0,0.0,17.2,20.5,5.5
Trey Burke,,,PG,3700,PHI,@NYK,1,108,,,100,110,0%,8,7,7,19,18,18,14.9,14.7,7.3,22.1,14.5,12.3,3.3,17.5,10.5,2.8
Dion Waiters,,O,SF,3700,MIA,GSW,1,111,,,104,111,5%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Kevin Knox,,,SF,3700,NYK,PHI,1,102,,,102,102,-6%,4,4,7,15,14,20,10.2,15.1,7.7,22.4,12.0,8.5,2.3,0,0.0,0.0
Tyler Johnson,,,PG,3700,PHO,DAL,1,115,17,9,103,108,0%,6,6,6,18,23,20,18.3,14.0,6.9,21.2,15.5,11.4,3.1,15.2,6.2,1.7
Denzel Valentine,,,SF,3700,CHI,@POR,1,110,,,105,109,7%,6,4,4,11,7,7,7.8,7.8,-0.5,16.0,0.0,0.0,0.0,10,5.7,1.5
Jordan McRae,7,,SG,3700,WAS,@LAL,1,113,20,17,103,100,2%,12,9,6,24,21,17,23.1,17.0,6.6,27.4,22.5,18.5,5.0,22,27.0,7.3
